,Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
30,31,40.2,7:00 PM,NIU Convocation Center,236,Elon,283,N Illinois,,Northern Illinois,2-0-0,100.0%,7.3,8.3,2-0-0,100.0%,-7.5,8.3,,,,,2-1-0,66.7%,12.5,4.2,1-0-0,100.0%,40.5,+15.5,2-1-0,66.7%,-6.0,4.2
31,32,36.6,7:00 PM,Ellis T. Johnson Arena,244,Austin Peay,292,Morehead St,Austin Peay,Morehead State,2-1-0,66.7%,-1.8,7.2,1-1-0,50.0%,-16.5,6.5,,,,,1-2-0,33.3%,-12.0,-9.2,0-0-0,0.0%,41.0,--,1-2-0,33.3%,-29.7,-9.2
32,33,32.4,7:00 PM,University Arena in Read Fieldhouse,242,South Dakota,319,W Michigan,,Western Michigan,2-1-0,66.7%,11.2,3.2,1-0-0,100.0%,-19.0,0.5,1-1-0,50.0%,11.0,4.5,1-2-1,33.3%,4.0,-1.8,1-1-0,50.0%,14.7,-2.3,0-1-1,0.0%,-12.0,-1.3
33,34,27.8,7:00 PM,Worthen Arena,335,Detroit,252,Ball St,Detroit Mercy,Ball State,2-1-0,66.7%,2.0,0.8,1-0-0,100.0%,-22.0,2.0,1-0-0,100.0%,6.0,4.5,1-2-0,33.3%,1.0,-3.5,0-1-0,0.0%,8.5,-16.0,1-1-0,50.0%,-6.5,2.8
34,35,24.3,7:00 PM,Corbett Sports Center,343,Morgan St,257,Nc A&T,Morgan State,,1-2-0,33.3%,5.6,-5.2,0-1-0,0.0%,-18.0,-8.5,1-1-0,50.0%,3.5,-3.5,3-0-0,100.0%,10.0,10.8,0-0-0,0.0%,52.0,--,3-0-0,100.0%,-4.0,10.8
35,36,22.6,7:00 PM,Christl Arena,347,F Dickinson,269,Army,Fairleigh Dickinson,Army West Point,3-1-0,75.0%,-10.0,0.6,2-1-0,66.7%,-31.0,-0.5,,,,,2-1-0,66.7%,4.0,0.8,1-0-0,100.0%,30.5,+6.5,1-1-0,50.0%,-22.5,-2.0
36,37,19.5,10:00 PM,Save Mart Center,354,Prairie View,275,Fresno St,Prairie View,Fresno State,1-2-0,33.3%,-14.0,-5.7,1-2-0,33.3%,-25.7,-5.7,,,,,1-1-1,50.0%,-5.3,-3.2,0-0-1,0.0%,7.0,0.0,1-1-0,50.0%,-11.5,-4.8
37,38,--,7:00 PM,Victor R. Yanitelli Recreation Life Center,0,College Of Saint Elizabeth,169,St Peters,,Saint Peters,,,,,,,,,,,,,4-0-0,100.0%,-3.3,6.4,,,,,3-0-0,100.0%,-7.0,6.5
38,38,--,10:00 PM,University Credit Union Pavilion,0,Csu Stanislaus,50,St Marys,,Saint Marys,,,,,,,,,,,,,1-3-0,25.0%,10.3,-1.3,1-2-0,33.3%,12.7,-1.3,,,,
39,38,--,7:00 PM,Timmons Arena,0,Oglethorpe,132,Furman,,Furman,,,,,,,,,,,,,3-0-0,100.0%,19.3,2.8,2-0-0,100.0%,25.0,+2.0,1-0-0,100.0%,2.0,4.5
40,38,--,7:00 PM,McGuirk Arena,0,Central State (Oh),204,Central Mich,,Central Michigan,,,,,,,,,,,,,3-1-0,75.0%,-1.0,9.3,0-1-0,0.0%,-1.0,-6.5,3-0-0,100.0%,-1.0,14.5
41,38,--,7:00 PM,DeGol Arena,0,Penn St.-Schuylkill,344,St Fran (Pa),,,,,,,,,,,,,,,3-2-0,60.0%,-18.6,1.1,,,,,3-2-0,60.0%,-18.6,1.1
42,38,--,7:00 PM,Stabler Arena,0,Valley Forge,302,Lehigh,,Lehigh,,,,,,,,,,,,,2-2-0,50.0%,-23.3,-7.9,,,,,2-2-0,50.0%,-23.3,-7.9
43,38,--,7:00 PM,Lundholm Gymnasium,0,Endicott College,352,N Hampshire,,New Hampshire,,,,,,,,,,,,,1-5-0,16.7%,-11.6,-7.2,0-1-0,0.0%,12.0,-4.5,1-4-0,20.0%,-18.8,-5.2
44,38,--,6:00 PM,Hart Center,0,Mitchell College,309,Holy Cross,,Holy Cross,,,,,,,,,,,,,3-2-0,60.0%,-4.2,5.6,,,,,3-1-0,75.0%,-5.8,7.8
45,38,--,7:00 PM,Reilly Center,0,Mansfield,111,St Bonavent,,Saint Bonaventure,,,,,,,,,,,,,4-0-0,100.0%,12.8,3.8,2-0-0,100.0%,16.5,+3.8,,,,
46,38,--,3:00 PM,Costello Athletic Center,0,Fisher College,155,Mass Lowell,,UMass Lowell,,,,,,,,,,,,,1-2-0,33.3%,-0.3,-9.5,0-1-0,0.0%,31.5,-3.5,1-1-0,50.0%,-32.0,-12.5
