,Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
10,11,62.8,6:30 PM,Bob Carpenter Center,143,Bryant,231,Delaware,Bryant,Delaware,1-1-0,50.0%,21.0,1.8,1-0-0,100.0%,23.0,16.5,1-1-0,50.0%,10.5,1.8,1-2-0,33.3%,-0.7,-1.8,0-2-0,0.0%,-4.0,-9.0,1-0-0,100.0%,6.0,12.5
11,12,59.4,7:00 PM,UNF Arena,235,Nc-Asheville,153,N Florida,,North Florida,1-1-0,50.0%,-31.0,-12.5,1-1-0,50.0%,-31.0,-12.5,,,,,4-0-0,100.0%,6.5,16.6,1-0-0,100.0%,24.0,+16.5,3-0-0,100.0%,0.7,16.7
12,13,59.3,7:30 PM,Charles Koch Arena,283,Monmouth,80,Wichita St,,Wichita State,1-3-0,25.0%,-20.8,-9.3,1-2-0,33.3%,-18.0,-4.8,0-1-0,0.0%,-13.0,-15.5,2-1-0,66.7%,11.0,4.8,1-1-0,50.0%,13.0,+4.3,,,,
13,14,57.7,7:00 PM,Nido and Mariana Qubein Arena,288,American,96,High Point,American,High Point,1-3-0,25.0%,-15.3,-8.1,0-3-0,0.0%,-24.3,-15.3,0-1-0,0.0%,-8.0,-10.0,2-2-0,50.0%,17.5,0.6,2-2-0,50.0%,17.5,+0.6,,,,
14,15,55.7,7:00 PM,Petersen Events Center,326,Vmi,21,Pittsburgh,,Pittsburgh,3-0-0,100.0%,22.0,10.8,1-0-0,100.0%,5.0,15.5,,,,,3-1-0,75.0%,24.5,9.1,3-1-0,75.0%,24.5,+9.1,,,,
15,16,52.5,8:00 PM,James H. Hilton Coliseum,344,Iu Indy,14,Iowa St,,Iowa State,1-1-0,50.0%,20.3,5.0,1-0-0,100.0%,-14.0,16.5,0-1-0,0.0%,-3.0,-6.5,0-2-0,0.0%,32.5,-4.0,0-2-0,0.0%,32.5,-4.0,,,,
16,17,49.4,8:00 PM,Moody Coliseum,347,Prairie View,59,S Methodist,Prairie View,SMU,1-1-0,50.0%,-5.0,-3.8,1-1-0,50.0%,-18.0,-3.8,,,,,1-3-0,25.0%,16.3,0.6,1-2-0,33.3%,25.3,+5.0,,,,
17,18,48.7,8:00 PM,United Supermarkets Arena,363,Ark Pine Bl,13,Texas Tech,Arkansas-Pine Bluff,Texas Tech,1-3-0,25.0%,-16.0,-6.3,1-3-0,25.0%,-30.5,-6.3,,,,,2-1-0,66.7%,33.7,5.3,2-1-0,66.7%,33.7,+5.3,,,,
18,19,41.6,7:00 PM,Ocean Bank Convocation Center (FIU),249,Howard,265,Florida Intl,Howard,FIU,2-1-0,66.7%,-5.8,1.0,1-1-0,50.0%,-22.5,0.8,1-0-0,100.0%,4.0,1.5,2-1-0,66.7%,14.3,14.0,1-0-0,100.0%,55.0,+40.5,1-1-0,50.0%,-6.0,0.8
19,20,40.1,7:00 PM,Charles E. Smith Center,359,Njit,124,Geo Wshgtn,,George Washington,1-3-0,25.0%,-17.0,-7.1,0-2-0,0.0%,-24.5,-10.0,,,,,1-2-0,33.3%,16.7,0.8,1-2-0,33.3%,16.7,+0.8,,,,
20,21,38.1,10:00 PM,Titan Gym,240,Idaho St,291,Cs Fullerton,Idaho State,,3-0-0,100.0%,5.8,14.7,3-0-0,100.0%,-0.3,14.7,,,,,1-3-0,25.0%,-21.5,-5.8,,,,,1-3-0,25.0%,-21.5,-5.8
21,22,30.0,7:30 PM,Fant-Ewing Coliseum,273,Se Louisiana,307,Ul Monroe,,,2-0-0,100.0%,2.3,8.0,2-0-0,100.0%,-15.5,8.0,,,,,1-3-0,25.0%,9.0,5.4,1-0-0,100.0%,56.0,+44.5,0-3-0,0.0%,-22.3,-7.7
22,23,--,8:00 PM,Mitchell Center,0,Spring Hill,200,S Alabama,,South Alabama,,,,,,,,,,,,,3-1-0,75.0%,0.3,3.3,1-1-0,50.0%,2.5,-3.0,2-0-0,100.0%,-2.0,9.5
23,23,--,7:30 PM,Bartow Arena,0,Auburn-Montgomery,85,Uab,,,,,,,,,,,,,,,1-3-0,25.0%,4.0,-5.4,1-2-0,33.3%,6.3,-7.0,0-1-0,0.0%,-3.0,-0.5
24,23,--,8:00 PM,First Bank & Trust Arena,0,Mount Marty,175,S Dakota St,,South Dakota State,,,,,,,,,,,,,1-2-0,33.3%,-0.3,-1.2,0-1-0,0.0%,1.0,-8.5,1-0-0,100.0%,7.0,17.5
25,23,--,8:00 PM,Swinney Recreation Center,0,Calvary University,196,Kansas City,,,,,,,,,,,,,,,1-1-0,50.0%,15.5,0.3,0-0-0,0.0%,55.5,--,1-1-0,50.0%,-24.5,0.3
26,23,--,7:00 PM,Hytche Athletic Center,0,Gallaudet University,358,Maryland Es,,,,,,,,,,,,,,,3-1-0,75.0%,-8.6,4.6,0-0-0,0.0%,19.0,--,3-1-0,75.0%,-15.5,4.6
27,23,--,7:00 PM,Carilion Clinic Court at the Dedmon Center,0,Southern Virginia,236,Radford,,,,,,,,,,,,,,,3-1-0,75.0%,-1.3,5.0,2-0-0,100.0%,12.0,+12.3,2-1-0,66.7%,-5.7,3.7
28,23,--,7:00 PM,Georgia State Convocation Center,0,Toccoa Falls,223,Georgia St,,Georgia State,,,,,,,,,,,,,2-1-0,66.7%,-11.7,-2.8,1-0-0,100.0%,5.0,+2.5,1-1-0,50.0%,-20.0,-5.5
29,23,--,7:00 PM,Dunn-Oliver Acadome,0,Virginia-Lynchburg,266,Alabama St,,Alabama State,,,,,,,,,,,,,1-0-1,100.0%,-13.5,3.0,,,,,1-0-1,100.0%,-13.5,3.0
30,23,--,7:30 PM,Thomas Assembly Center,0,Mississippi College,106,La Tech,,,,,,,,,,,,,,,2-0-0,100.0%,17.3,12.5,0-0-0,0.0%,27.0,--,1-0-0,100.0%,15.0,16.5
