Team,ATS Record,Cover %,MOV,ATS +/-
Colorado St,157-170-10,48.0%,8.5,+0.2
N Mex State,132-143-10,48.0%,12.1,0.0
Lg Beach St,142-154-10,48.0%,5.7,-0.2
Stony Brook,46-50-5,47.9%,5.4,-0.7
Oral Roberts,68-74-4,47.9%,11.3,+0.7
St Josephs,156-170-7,47.9%,5.2,-0.4
Richmond,166-181-12,47.8%,6.8,-0.3
Campbell,44-48-0,47.8%,4.1,-0.3
Bryant,43-47-2,47.8%,2.9,-0.3
Mt St Marys,42-46-1,47.7%,3.4,+0.2
St Johns,187-205-9,47.7%,5.9,-0.5
Seton Hall,174-191-6,47.7%,7.6,-0.3
Princeton,122-134-2,47.7%,10.2,-0.2
S Methodist,161-177-11,47.6%,8.9,0.0
Rob Morris,50-55-1,47.6%,5.4,-0.8
Old Dominion,168-185-7,47.6%,8.4,+0.1
Santa Clara,177-195-8,47.6%,4.7,-1.1
TN Martin,115-127-4,47.5%,4.4,-1.3
Illinois St,172-190-7,47.5%,6.8,+0.1
Providence,189-209-6,47.5%,7.8,+0.2
Washington,198-219-9,47.5%,7.6,-0.1
Northwestern,176-195-7,47.4%,5.4,-0.4
TN State,118-131-2,47.4%,4.1,-0.7
N Hampshire,45-50-3,47.4%,2.6,-0.5
Hofstra,124-138-5,47.3%,7.6,-0.5
New Orleans,94-105-1,47.2%,6.8,-0.3
Niagara,135-151-5,47.2%,3.4,-0.3
Neb Omaha,59-66-0,47.2%,5.2,-0.4
Marist,133-149-5,47.2%,0.7,-0.5
U Mass,165-185-6,47.1%,4.7,-0.8
Cincinnati,189-212-11,47.1%,13.9,+0.7
USC,192-216-8,47.1%,7.0,-0.4
Syracuse,200-225-7,47.1%,11.6,-0.7
Samford,108-122-2,47.0%,7.7,-0.1
Army,46-52-3,46.9%,1.3,-1.9
Notre Dame,176-199-11,46.9%,10.8,-0.7
UC Riverside,119-135-5,46.9%,3.5,-0.6
La Salle,148-168-11,46.8%,2.5,-0.6
