Team,Over Record,Over %,Under %,Total +/-
TN Martin,26-27-2,49.1%,50.9%,+1.2
Georgetown,100-104-0,49.0%,51.0%,+0.3
Central Mich,96-100-2,49.0%,51.0%,+1.0
Northwestern,94-98-4,49.0%,51.0%,+0.1
Minnesota,90-94-3,48.9%,51.1%,-0.2
Memphis,90-94-0,48.9%,51.1%,+2.0
Clemson,89-93-4,48.9%,51.1%,-0.2
Sac State,22-23-0,48.9%,51.1%,+2.0
Florida,105-110-1,48.8%,51.2%,-0.2
Tulsa,83-87-1,48.8%,51.2%,0.0
SE Louisiana,39-41-0,48.8%,51.3%,-0.2
Michigan St,94-99-3,48.7%,51.3%,+0.1
SIU Edward,37-39-2,48.7%,51.3%,-1.8
Seton Hall,91-96-3,48.7%,51.3%,+0.2
Southern,18-19-3,48.7%,51.4%,-0.4
Bucknell,69-73-2,48.6%,51.4%,+0.3
Belmont,51-54-1,48.6%,51.4%,+0.3
TN State,33-35-0,48.5%,51.5%,-1.4
Stanford,66-70-0,48.5%,51.5%,+1.2
E Tenn St,65-69-1,48.5%,51.5%,-1.5
Gonzaga,32-34-0,48.5%,51.5%,+1.3
San Diego,32-34-1,48.5%,51.5%,0.0
Sacred Hrt,31-33-1,48.4%,51.6%,+1.4
Rob Morris,31-33-3,48.4%,51.6%,+0.2
St Bonavent,93-99-3,48.4%,51.6%,+0.1
Miami,89-95-3,48.4%,51.6%,+1.3
Cal Baptist,29-31-3,48.3%,51.7%,-0.1
N Mex State,28-30-1,48.3%,51.7%,-0.3
GA Tech,96-103-2,48.2%,51.8%,+0.7
Colorado,65-70-0,48.2%,51.9%,0.0
E Illinois,36-39-1,48.0%,52.0%,+0.7
Old Dominion,36-39-0,48.0%,52.0%,-0.5
Rice,36-39-0,48.0%,52.0%,+0.7
CS Bakersfld,24-26-0,48.0%,52.0%,-0.9
Texas A&M,95-103-0,48.0%,52.0%,-0.3
Hampton,35-38-0,48.0%,52.1%,+1.7
Valparaiso,79-86-0,47.9%,52.1%,+0.3
Marshall,44-48-1,47.8%,52.2%,+0.9
