,Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
10,11,91.2,9:00 PM,Barclays Center,24,Texas,101,St Josephs,Texas,Saint Josephs,2-3-0,40.0%,24.0,0.1,,,,,2-3-0,40.0%,24.0,0.1,3-2-0,60.0%,5.2,0.0,1-2-0,33.3%,2.7,-7.2,2-0-0,100.0%,4.0,11.0
11,12,89.9,2:00 PM,TD Arena,59,Miami,91,Oklahoma St,Miami FL,Oklahoma State,1-3-0,25.0%,21.0,-4.4,,,,,1-3-0,25.0%,21.0,-4.4,0-4-0,0.0%,5.3,-4.8,0-3-0,0.0%,9.7,-4.3,0-1-0,0.0%,-8.0,-6.0
12,13,87.9,5:00 PM,TD Arena,88,Seton Hall,83,Vanderbilt,Seton Hall,Vanderbilt,2-3-0,40.0%,6.2,-1.2,,,,,1-3-0,25.0%,7.0,-4.0,3-2-0,60.0%,15.8,-2.0,2-2-0,50.0%,19.3,-3.6,1-0-0,100.0%,2.0,4.5
13,14,87.5,11:30 AM,TD Arena,102,Drake,72,Fla Atlantic,Drake,Florida Atlantic,2-1-0,66.7%,20.0,7.5,,,,,1-1-0,50.0%,8.5,1.3,3-2-0,60.0%,14.2,7.0,0-0-0,0.0%,50.0,--,1-2-0,33.3%,-2.0,1.0
14,15,86.2,8:00 PM,Fertitta Center,143,Hofstra,2,Houston,Hofstra,Houston,3-1-0,75.0%,5.6,4.0,1-1-0,50.0%,-7.0,0.3,1-0-0,100.0%,14.0,9.5,2-1-0,66.7%,32.7,8.2,2-0-0,100.0%,51.5,+17.5,,,,
15,16,85.3,5:00 PM,Mohegan Sun Arena,82,Florida St,116,Temple,Florida State,Temple,3-2-0,60.0%,9.0,1.5,,,,,3-1-0,75.0%,14.5,3.8,1-3-0,25.0%,11.3,3.0,0-2-0,0.0%,9.5,-3.0,,,,
16,17,85.0,8:00 PM,Sports and Fitness Center,124,Geo Wshgtn,81,Kansas St,George Washington,Kansas State,1-3-0,25.0%,17.5,0.4,,,,,1-3-0,25.0%,17.5,0.4,0-4-0,0.0%,11.0,-14.8,0-4-0,0.0%,11.0,-14.8,,,,
17,18,84.4,7:00 PM,Exactech Arena at the Stephen C. O'Connell Center,148,S Illinois,28,Florida,Southern Illinois,Florida,2-1-0,66.7%,7.5,5.7,1-0-0,100.0%,-7.0,5.0,1-0-0,100.0%,25.0,18.0,2-3-0,40.0%,19.4,-1.1,0-3-0,0.0%,23.0,-5.7,,,,
18,19,83.2,7:00 PM,KFC Yum! Center,149,Winthrop,56,Louisville,,Louisville,2-3-0,40.0%,11.7,-2.6,1-0-0,100.0%,-6.0,3.0,1-3-0,25.0%,4.0,-4.0,2-1-0,66.7%,19.3,1.2,2-1-0,66.7%,19.3,+1.2,,,,
19,20,83.1,8:00 PM,CFSB Center,133,Utah Valley,75,Murray St,Utah Valley,Murray State,1-1-0,50.0%,19.3,8.3,0-1-0,0.0%,-6.0,-11.5,1-1-0,50.0%,11.5,8.3,1-2-0,33.3%,25.0,4.8,0-1-0,0.0%,47.0,-7.0,1-1-0,50.0%,3.0,10.8
20,21,82.1,10:30 PM,T-Mobile Center,127,Saint Louis,96,Wichita St,Saint Louis,Wichita State,0-2-0,0.0%,16.7,-2.8,,,,,0-1-0,0.0%,6.0,-0.5,2-2-0,50.0%,9.3,0.4,1-2-0,33.3%,10.0,-1.5,,,,
21,22,80.0,5:00 PM,HTC Center,80,Bradley,163,Wright St,Bradley,Wright State,3-2-0,60.0%,10.8,-0.5,0-1-0,0.0%,-17.0,-15.5,3-1-0,75.0%,17.8,3.3,2-2-0,50.0%,7.7,5.3,0-0-0,0.0%,32.5,--,2-2-0,50.0%,-4.8,5.3
22,23,79.5,3:00 PM,Sports and Fitness Center,165,Illinois St,85,Mcneese St,Illinois State,,2-1-0,66.7%,18.0,3.3,1-0-0,100.0%,9.0,12.5,0-1-0,0.0%,-2.0,-15.0,2-1-0,66.7%,11.5,-1.3,1-0-0,100.0%,30.5,+4.0,1-0-0,100.0%,-8.0,9.5
23,24,79.1,7:30 PM,Purcell Pavilion at the Joyce Center,181,Elon,53,Notre Dame,,Notre Dame,3-0-0,100.0%,12.3,14.0,3-0-0,100.0%,4.0,14.0,1-0-0,100.0%,27.0,25.5,2-2-0,50.0%,19.0,1.1,1-2-0,33.3%,18.3,-4.5,,,,
24,25,77.6,7:00 PM,Lenovo Center,188,Wm & Mary,58,Nc State,,,3-2-0,60.0%,9.8,2.0,0-1-0,0.0%,-12.0,-15.5,1-2-0,33.3%,-1.0,-4.5,2-2-0,50.0%,18.8,0.0,2-2-0,50.0%,18.8,0.0,,,,
25,25,77.6,3:30 PM,Ocean Center,120,James Mad,150,Ucsd,James Madison,,2-2-0,50.0%,11.6,0.4,0-2-0,0.0%,-9.0,-10.3,2-1-0,66.7%,4.7,1.2,3-2-0,60.0%,3.0,-0.2,1-2-0,33.3%,5.0,-4.3,2-0-0,100.0%,0.0,6.0
26,27,77.0,9:00 PM,Global Credit Union Arena at GCU,171,Norfolk St,100,Grd Canyon,Norfolk State,Grand Canyon,3-1-0,75.0%,17.3,7.0,2-1-0,66.7%,-3.0,3.2,1-0-0,100.0%,9.0,4.5,0-4-0,0.0%,-1.5,-15.0,0-3-0,0.0%,1.7,-14.3,,,,
27,28,76.7,11:00 AM,Ocean Center,144,Il-Chicago,134,La Salle,,La Salle,2-1-0,66.7%,18.2,3.0,1-0-0,100.0%,-9.0,6.0,,,,,3-2-0,60.0%,9.6,5.6,3-0-0,100.0%,16.7,+12.0,,,,
28,29,76.4,5:30 PM,Ocean Center,154,Jksnville St,117,Toledo,Jacksonville State,Toledo,2-2-0,50.0%,17.8,5.8,1-1-0,50.0%,6.0,5.8,1-1-0,50.0%,11.5,7.8,4-1-0,80.0%,9.8,4.6,1-0-0,100.0%,9.0,+2.0,0-1-0,0.0%,-10.0,-4.0
29,30,74.9,12:30 PM,Sports and Fitness Center,191,Longwood,90,Uab,Longwood,,2-2-0,50.0%,10.2,1.8,0-1-0,0.0%,6.0,-1.5,2-2-0,50.0%,10.0,1.8,1-3-0,25.0%,12.2,-5.4,1-2-0,33.3%,16.0,-7.0,0-1-0,0.0%,-3.0,-0.5
30,31,74.8,9:00 PM,Dee Events Center,64,Uc Irvine,200,Weber St,,Weber State,3-0-0,100.0%,20.8,13.0,2-0-0,100.0%,17.5,18.8,2-0-0,100.0%,16.5,7.8,1-2-0,33.3%,5.0,-11.8,0-0-0,0.0%,83.0,--,1-2-0,33.3%,-21.0,-11.8
31,32,74.6,9:00 PM,Moby Arena,193,Uc Riverside,86,Colorado St,,Colorado State,4-1-0,80.0%,-6.8,-0.7,3-1-0,75.0%,-15.5,-2.8,1-0-0,100.0%,28.0,7.5,1-3-0,25.0%,7.0,-7.1,1-2-0,33.3%,14.3,-6.3,0-1-0,0.0%,-15.0,-9.5
32,33,73.8,9:00 PM,Bud Walton Arena,220,Ar Lit Rock,35,Arkansas,,Arkansas,2-2-0,50.0%,3.8,11.9,2-2-0,50.0%,-0.3,11.9,,,,,1-3-0,25.0%,11.5,-0.1,1-2-0,33.3%,17.0,0.0,0-1-0,0.0%,-5.0,-0.5
33,34,73.0,7:30 PM,HTC Center,172,Texas St,132,Princeton,Texas State,Princeton,2-2-0,50.0%,5.8,1.1,1-1-0,50.0%,-8.5,0.0,1-0-0,100.0%,20.0,11.5,2-4-0,33.3%,-0.2,-6.9,0-2-0,0.0%,-2.0,-9.3,,,,
34,35,72.7,2:00 PM,HTC Center,158,Middle Tenn,151,S Florida,Middle Tennessee,South Florida,3-1-0,75.0%,13.4,3.4,1-0-0,100.0%,23.0,27.0,1-1-0,50.0%,-2.0,-8.8,1-4-0,20.0%,2.2,-4.5,1-1-0,50.0%,17.5,-4.0,0-2-0,0.0%,-15.0,-7.0
35,36,71.7,6:00 PM,Value City Arena,239,Campbell,17,Ohio St,,Ohio State,2-1-0,66.7%,20.0,8.0,2-0-0,100.0%,5.5,16.5,0-1-0,0.0%,-1.0,-9.0,3-1-0,75.0%,19.5,10.4,2-0-0,100.0%,42.0,+20.3,1-1-0,50.0%,-3.0,0.5
36,37,70.0,7:00 PM,Hinkle Fieldhouse,222,Merrimack,84,Butler,Merrimack,Butler,2-2-0,50.0%,-7.3,4.8,1-1-0,50.0%,-16.0,1.5,,,,,2-2-0,50.0%,9.0,-3.6,2-2-0,50.0%,9.0,-3.6,1-0-0,100.0%,11.0,12.5
37,38,69.0,7:00 PM,Rose Hill Gymnasium,156,Drexel,179,Fordham,Drexel,Fordham,4-0-0,100.0%,12.8,8.0,2-0-0,100.0%,-1.0,5.0,,,,,2-2-0,50.0%,4.4,-2.6,1-0-0,100.0%,27.5,+1.0,1-1-0,50.0%,-15.5,-0.8
38,39,66.7,5:00 PM,UW-Milwaukee Panther Arena,176,Wofford,170,St. Thomas,,Saint Thomas MN,0-3-0,0.0%,-2.3,-12.3,0-3-0,0.0%,-21.0,-12.3,0-1-0,0.0%,-3.0,-8.0,2-1-0,66.7%,12.6,3.8,0-0-0,0.0%,36.5,--,1-1-0,50.0%,-12.0,0.5
39,40,66.1,8:00 PM,Welsh-Ryan Arena,260,Pepperdine,55,Northwestern,Pepperdine,Northwestern,1-3-0,25.0%,-11.0,-2.6,0-3-0,0.0%,-19.0,-6.0,1-0-0,100.0%,13.0,7.5,1-4-0,20.0%,12.0,-0.8,1-3-0,25.0%,16.3,-0.9,0-1-0,0.0%,-5.0,-0.5
40,41,63.5,7:30 PM,Mizzou Arena,272,Pacific,57,Missouri,Pacific,Missouri,2-2-0,50.0%,10.2,0.5,1-1-0,50.0%,-14.5,-2.0,0-1-0,0.0%,-3.0,-8.5,1-3-0,25.0%,21.5,4.5,1-2-0,33.3%,31.3,+7.5,0-1-0,0.0%,-8.0,-4.5
41,42,62.2,5:30 PM,Sports and Fitness Center,262,Louisiana,87,Liberty,Louisiana-Lafayette,Liberty,0-3-0,0.0%,-13.8,-13.8,0-1-0,0.0%,-46.0,-14.5,0-1-0,0.0%,-22.0,-25.0,3-1-0,75.0%,15.2,8.4,0-0-0,0.0%,36.0,--,2-0-0,100.0%,11.5,14.8
42,43,61.4,10:00 PM,Pauley Pavilion presented by Wescom,297,Cs Fullerton,23,Ucla,,,1-4-0,20.0%,-17.0,-4.9,1-3-0,25.0%,-21.5,-5.8,0-1-0,0.0%,1.0,-1.5,3-2-0,60.0%,22.4,2.3,3-1-0,75.0%,30.0,+6.0,,,,
43,44,59.0,11:00 AM,Alico Arena,216,Cs Bakersfld,189,Fla Gulf Cst,,FGCU,2-0-1,100.0%,19.8,6.5,0-0-1,0.0%,-13.0,0.0,2-0-0,100.0%,11.5,9.8,2-2-0,50.0%,-9.0,0.1,0-1-0,0.0%,-9.0,-6.0,2-2-0,50.0%,-9.0,0.1
44,45,57.1,8:00 PM,UW-Milwaukee Panther Arena,218,Portland St,195,Wi-Milwkee,Portland State,,2-0-0,100.0%,16.0,6.8,2-0-0,100.0%,0.5,6.8,1-0-0,100.0%,9.0,7.0,1-2-0,33.3%,7.3,-3.5,0-0-0,0.0%,56.0,--,1-2-0,33.3%,-9.0,-3.5
45,46,56.8,3:30 PM,William R. Johnson Coliseum,240,Presbyterian,178,Youngs St,Presbyterian,Youngstown State,4-1-0,80.0%,7.5,4.3,3-1-0,75.0%,-8.3,3.4,,,,,3-1-0,75.0%,-3.3,2.0,,,,,1-1-0,50.0%,-21.5,-6.0
46,47,56.0,7:00 PM,Rupp Arena at Central Bank Center,326,Jackson St,13,Kentucky,Jackson State,Kentucky,2-3-0,40.0%,-26.6,-1.2,2-3-0,40.0%,-26.6,-1.2,,,,,3-1-0,75.0%,25.8,9.4,2-1-0,66.7%,32.7,+9.0,1-0-0,100.0%,5.0,10.5
47,48,55.4,1:00 PM,Alico Arena,270,Florida Intl,147,Northeastrn,FIU,,2-2-0,50.0%,9.5,8.3,1-1-0,50.0%,-6.0,0.8,1-1-0,50.0%,25.0,15.8,4-0-0,100.0%,11.3,12.5,2-0-0,100.0%,9.5,+12.3,2-0-0,100.0%,2.5,7.5
48,49,55.2,10:00 PM,Gersten Pavilion,264,North Dakota,160,Loyola Mymt,North Dakota,Loyola Maryland,2-1-0,66.7%,-1.5,1.3,1-1-0,50.0%,-21.5,-3.8,,,,,1-1-0,50.0%,7.3,-6.8,0-1-0,0.0%,14.0,-14.0,1-1-0,50.0%,-10.5,-6.8
49,50,54.5,6:00 PM,James A. Rhodes Arena,267,Lamar,153,Akron,Lamar,Akron,0-2-0,0.0%,10.7,-3.8,0-1-0,0.0%,-26.0,-1.0,,,,,1-1-0,50.0%,2.3,-2.0,0-0-0,0.0%,31.0,--,1-1-0,50.0%,-12.0,-2.0
50,51,53.7,5:30 PM,Jon M. Huntsman Center,329,Utah Tech,44,Utah,Utah Tech,Utah,0-3-0,0.0%,-5.3,-9.5,0-2-0,0.0%,-20.0,-10.0,,,,,4-0-0,100.0%,25.5,8.3,3-0-0,100.0%,35.7,+10.2,1-0-0,100.0%,-5.0,2.5
51,52,51.2,4:30 PM,Ruben Zayas Montanez Coliseum,166,Kansas City,282,American,,American,1-1-0,50.0%,32.4,0.3,1-1-0,50.0%,-24.5,0.3,,,,,2-3-0,40.0%,-13.6,-5.1,1-0-0,100.0%,12.0,+13.5,2-2-0,50.0%,-15.0,-3.9
52,53,47.5,7:00 PM,Georgia State Convocation Center,254,Nc Central,225,Georgia St,,Georgia State,3-2-1,60.0%,-7.3,1.0,1-1-0,50.0%,-16.5,-0.5,0-1-0,0.0%,-6.0,-7.5,2-1-0,66.7%,1.3,-2.8,1-0-0,100.0%,22.5,+2.5,1-1-0,50.0%,-20.0,-5.5
53,54,47.4,8:30 PM,Arena-Auditorium,259,Se Louisiana,214,Wyoming,,Wyoming,3-0-0,100.0%,2.5,5.7,3-0-0,100.0%,-9.3,5.7,1-0-0,100.0%,3.0,1.0,2-1-0,66.7%,2.0,-6.0,2-0-0,100.0%,18.3,+5.3,0-1-0,0.0%,-47.0,-28.5
54,55,46.3,6:00 PM,William R. Johnson Coliseum,281,Monmouth,199,Ste F Austin,,SFA,2-4-0,33.3%,-16.2,-4.9,2-2-0,50.0%,-14.5,-0.4,0-1-0,0.0%,-13.0,-15.5,0-3-0,0.0%,5.0,-7.5,0-1-0,0.0%,16.7,-11.0,0-2-0,0.0%,-12.5,-5.8
55,56,46.2,11:30 AM,HTC Center,168,Ohio,306,Portland,Ohio,,0-5-0,0.0%,-8.0,-7.7,0-3-0,0.0%,-14.7,-10.3,0-3-0,0.0%,-2.0,-6.7,3-1-0,75.0%,-8.4,-2.5,0-1-0,0.0%,-14.0,-34.0,3-1-0,75.0%,-13.8,-2.5
56,57,45.5,7:00 PM,McKillop Court at John M. Belk Arena,335,Vmi,128,Davidson,,Davidson,3-1-0,75.0%,10.8,5.8,1-1-0,50.0%,-20.0,3.0,,,,,2-0-0,100.0%,17.7,0.5,1-0-0,100.0%,23.5,+0.5,,,,
57,58,43.4,7:00 PM,Lavietes Pavilion,212,Colgate,289,Harvard,Colgate,Harvard,2-2-0,50.0%,-2.3,-4.1,1-2-0,33.3%,-14.0,-7.0,1-1-0,50.0%,8.0,-8.0,1-4-0,20.0%,-9.6,-6.8,1-0-0,100.0%,13.0,+10.0,0-3-0,0.0%,-16.3,-10.2
58,59,43.1,8:00 PM,Joseph C. Rolle Activity Center,255,Incar Word,245,N Arizona,UIW,Northern Arizona,2-1-0,66.7%,17.5,3.8,1-0-0,100.0%,-5.0,6.5,1-1-0,50.0%,15.5,2.5,1-1-0,50.0%,22.2,0.3,0-0-0,0.0%,44.7,--,1-1-0,50.0%,-11.5,0.3
59,60,43.0,10:00 PM,Alaska Airlines Arena at Hec Edmundson Pavilion,361,Alcorn St,95,Washington,Alcorn,Washington,1-3-0,25.0%,-31.6,-11.8,1-3-0,25.0%,-31.6,-11.8,,,,,0-3-0,0.0%,4.0,-6.5,0-2-0,0.0%,8.7,-8.0,0-1-0,0.0%,-10.0,-3.5
60,61,42.0,7:30 PM,Farris Center,313,Se Missouri,184,Nc-Asheville,,,3-1-0,75.0%,3.4,4.6,2-1-0,66.7%,-11.0,5.0,,,,,2-1-0,66.7%,-16.0,-1.5,,,,,2-1-0,66.7%,-16.0,-1.5
61,62,40.5,10:00 PM,Jenny Craig Pavilion,208,S Utah,307,San Diego,Southern Utah,UC San Diego,1-2-0,33.3%,17.6,2.3,1-0-0,100.0%,-4.0,11.0,0-2-0,0.0%,5.5,-2.0,1-3-0,25.0%,-2.0,-3.8,1-3-0,25.0%,-2.0,-3.8,0-1-0,0.0%,-9.0,-7.0
62,63,39.2,8:30 PM,James A. Rhodes Arena,276,Neb Omaha,252,Alabama St,Omaha,Alabama State,4-0-0,100.0%,-0.4,7.9,4-0-0,100.0%,-4.5,7.9,,,,,1-0-1,100.0%,8.0,3.0,0-0-0,0.0%,51.0,--,1-0-1,100.0%,-13.5,3.0
63,64,38.0,8:00 PM,Sharp Gymnasium,164,Rice,348,Hsn Christian,Rice,Houston Christian,4-1-0,80.0%,7.8,5.3,1-0-0,100.0%,22.0,25.0,2-1-0,66.7%,8.3,-0.2,2-0-0,100.0%,-4.8,1.5,0-0-0,0.0%,23.5,--,2-0-0,100.0%,-33.0,1.5
64,65,37.9,7:30 PM,Avron B. Fogelman Arena in Devlin Fieldhouse,358,New Orleans,145,Tulane,New Orleans,Tulane,2-3-0,40.0%,-14.0,-4.7,1-1-0,50.0%,-17.5,2.5,1-1-0,50.0%,-9.0,-12.0,3-1-0,75.0%,18.0,3.8,3-0-0,100.0%,24.5,+6.0,0-1-0,0.0%,-8.0,-3.0
65,66,37.6,1:00 PM,Ocean Center,177,E Carolina,344,Stetson,East Carolina,Stetson,1-2-0,33.3%,12.2,-5.3,,,,,0-2-0,0.0%,-2.0,-10.3,1-3-0,25.0%,-10.4,-8.1,0-1-0,0.0%,8.0,-7.5,1-2-0,33.3%,-22.7,-8.3
66,67,37.0,8:00 PM,Screaming Eagles Arena,236,South Dakota,302,S Indiana,,Southern Indiana,3-1-0,75.0%,10.0,2.8,2-0-0,100.0%,-7.5,1.0,2-1-0,66.7%,8.7,3.5,2-3-0,40.0%,-7.8,1.6,0-1-0,0.0%,-6.0,-3.0,2-3-0,40.0%,-7.8,1.6
67,68,36.5,7:00 PM,Freedom Hall Civic Center,321,Sc Upstate,215,E Tenn St,,ETSU,3-1-0,75.0%,1.0,6.8,2-1-0,66.7%,-18.3,7.3,,,,,0-2-0,0.0%,9.8,-8.3,0-1-0,0.0%,15.0,-16.0,0-1-0,0.0%,-6.0,-0.5
68,69,32.7,8:00 PM,Ford Center,246,Wi-Grn Bay,314,Evansville,,Evansville,4-1-0,80.0%,-0.4,6.6,3-0-0,100.0%,-4.3,7.3,1-0-0,100.0%,25.0,21.5,0-4-0,0.0%,-9.6,-12.4,0-1-0,0.0%,18.0,-14.5,0-3-0,0.0%,-28.0,-11.7
69,70,27.7,7:00 PM,Draddy Gymnasium,257,Army,334,Manhattan,Army West Point,Manhattan,3-1-0,75.0%,6.0,2.5,1-1-0,50.0%,-22.5,-2.0,2-0-0,100.0%,11.0,7.0,1-2-0,33.3%,-3.5,0.7,1-0-0,100.0%,9.5,+10.0,1-1-0,50.0%,-14.0,3.0
70,71,27.4,7:30 PM,Prather Coliseum,311,Ul Monroe,277,Nw State,,,1-4-0,20.0%,7.0,4.1,0-3-0,0.0%,-22.3,-7.7,1-0-0,100.0%,62.0,44.5,3-0-0,100.0%,14.8,9.7,0-0-0,0.0%,56.5,--,3-0-0,100.0%,-13.0,9.7
71,72,27.2,7:00 PM,Hulman Center,360,Chicago St,221,Indiana St,Chicago State,Indiana State,1-4-0,20.0%,-27.8,-9.2,1-2-0,33.3%,-33.0,-6.2,,,,,1-2-0,33.3%,4.3,-7.2,0-1-0,0.0%,20.0,-11.5,1-1-0,50.0%,-11.5,-5.0
72,73,22.5,6:00 PM,Dugan Wellness Center,328,Le Moyne,288,Tn Martin,Le Moyne,,1-3-0,25.0%,-10.4,-1.6,1-2-0,33.3%,-21.3,4.3,,,,,3-1-0,75.0%,6.2,6.0,0-0-0,0.0%,53.0,--,3-1-0,75.0%,-5.5,6.0
73,74,21.1,8:00 PM,Alabama A&M Events Center,293,S Car State,336,Alab A&M,South Carolina State,Alabama A&M,2-3-0,40.0%,16.8,17.6,0-3-0,0.0%,-14.7,-4.7,2-0-0,100.0%,64.0,51.0,0-2-0,0.0%,13.0,-11.5,0-0-0,0.0%,41.0,--,0-2-0,0.0%,-29.0,-11.5
74,75,18.1,5:00 PM,Alabama A&M Events Center,345,Iu Indy,299,Coastal Car,,Coastal Carolina,1-2-0,33.3%,9.2,3.0,1-1-0,50.0%,-24.5,7.8,0-1-0,0.0%,-3.0,-6.5,2-1-1,66.7%,-7.5,-0.6,0-1-1,0.0%,-7.0,-8.0,2-1-0,66.7%,-11.3,-0.8
75,76,12.0,7:00 PM,Alumni Arena,337,Morgan St,340,Buffalo,Morgan State,Buffalo,2-2-0,50.0%,4.2,-3.0,1-1-0,50.0%,-10.5,-2.5,1-1-0,50.0%,3.5,-3.5,3-1-0,75.0%,-6.6,3.9,0-1-0,0.0%,-7.0,-16.5,3-1-0,75.0%,-10.5,3.9
76,77,--,10:00 PM,Redhawk Center,0,Northwest University,140,Seattle,,Seattle,,,,,,,,,,,,,1-3-0,25.0%,0.0,-1.6,0-1-0,0.0%,-2.0,-3.0,1-0-0,100.0%,13.0,20.0
77,77,--,5:00 PM,Alfred Lawson Jr. Multipurpose Center,0,Trinity Baptist,357,Florida A&M,,Florida A&M,,,,,,,,,,,,,3-1-0,75.0%,-32.5,-0.9,,,,,3-1-0,75.0%,-32.5,-0.9
78,77,--,8:00 PM,First National Bank Arena,0,Lane College,99,Arkansas St,,Arkansas State,,,,,,,,,,,,,3-1-0,75.0%,5.8,4.6,2-1-0,66.7%,10.7,+0.7,1-0-0,100.0%,-9.0,16.5
79,77,--,1:00 PM,Ruben Zayas Montanez Coliseum,0,Puerto Rico - Mayaguez,253,Albany,,Albany NY,,,,,,,,,,,,,2-1-0,66.7%,9.0,5.8,1-0-0,100.0%,15.0,+6.0,1-1-0,50.0%,3.0,5.8
80,77,--,11:00 AM,Bogota Savings Bank Center,0,Vermont State - Randolph,351,F Dickinson,,Fairleigh Dickinson,,,,,,,,,,,,,3-2-0,60.0%,-10.7,-1.0,1-0-0,100.0%,21.5,+4.0,3-2-0,60.0%,-20.8,-1.0
