Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-
Portland,12-9-1,57.1%,-8.1,0.2,7-7-0,50.0%,-11.0,-2.3,0-1-0,0.0%,-36.0,-28.5,9-4-0,69.2%,-5.0,3.1,3-4-1,42.9%,-9.8,-0.9,6-5-1,54.6%,-10.3,-0.7,12-9-1,57.1%,-8.1,0.2,,,,,6-4-0,60.0%,-5.5,1.3,3-1-1,75.0%,-6.0,5.9,7-6-0,53.9%,-7.2,0.1,3-2-0,60.0%,-1.4,4.0,2-0-1,100.0%,-6.0,5.3,2-1-0,66.7%,-6.3,0.7
Okla City,12-9-0,57.1%,10.8,2.9,7-3-0,70.0%,11.7,4.4,2-0-0,100.0%,18.0,17.3,2-3-0,40.0%,11.2,1.1,9-6-0,60.0%,10.4,2.6,6-4-0,60.0%,9.2,3.8,1-0-0,100.0%,15.0,17.0,11-9-0,55.0%,10.6,2.2,6-5-0,54.6%,12.3,2.1,2-2-0,50.0%,13.3,4.4,8-6-0,57.1%,9.0,0.7,3-2-0,60.0%,13.2,4.0,2-4-0,33.3%,7.3,-0.5,0-1-0,0.0%,12.0,-0.5
San Antonio,11-10-0,52.4%,-0.2,2.6,2-8-0,20.0%,-4.6,-4.1,0-1-0,0.0%,-11.0,-2.5,7-2-0,77.8%,0.7,5.9,4-7-0,36.4%,0.1,0.5,4-5-0,44.4%,-6.0,0.1,7-8-0,46.7%,-4.3,1.5,4-2-0,66.7%,10.0,5.5,7-5-0,58.3%,4.2,4.6,2-2-0,50.0%,-1.0,1.4,6-7-0,46.2%,-0.8,1.3,6-0-0,100.0%,8.5,13.1,3-2-0,60.0%,-1.8,3.6,3-0-0,100.0%,7.0,11.8
New York,10-10-1,50.0%,6.8,1.1,8-6-1,57.1%,8.6,2.9,0-1-0,0.0%,-23.0,-17.0,5-3-0,62.5%,11.6,6.3,5-6-1,45.5%,6.0,-0.8,5-7-0,41.7%,1.2,-2.6,1-1-0,50.0%,2.0,6.0,9-9-1,50.0%,7.3,0.6,5-3-1,62.5%,14.2,6.2,1-1-0,50.0%,13.5,2.0,8-5-1,61.5%,10.4,4.5,2-3-0,40.0%,2.8,-2.1,0-1-0,0.0%,-1.0,-9.5,1-3-0,25.0%,-2.0,-6.5
Chicago,11-11-0,50.0%,-4.3,0.7,6-6-0,50.0%,-6.3,0.0,0-1-0,0.0%,-12.0,-7.0,9-4-0,69.2%,0.5,4.1,2-6-0,25.0%,-11.1,-3.9,6-6-0,50.0%,-2.7,3.0,9-10-0,47.4%,-6.9,0.0,2-1-0,66.7%,12.0,5.2,5-5-0,50.0%,-6.3,-2.2,1-4-0,20.0%,-10.0,-2.6,8-5-0,61.5%,-5.3,1.5,4-1-0,80.0%,9.8,7.9,1-4-0,20.0%,-13.8,-4.8,2-1-0,66.7%,12.0,5.2
Detroit,10-12-1,45.5%,-2.7,0.6,6-9-1,40.0%,-4.2,-0.5,0-1-0,0.0%,-6.0,-0.5,7-6-0,53.9%,-0.2,3.3,3-5-1,37.5%,-5.9,-3.2,6-5-1,54.6%,0.9,4.6,8-7-1,53.3%,-4.8,1.3,2-5-0,28.6%,2.0,-1.0,4-7-0,36.4%,-6.6,-3.7,2-2-1,50.0%,-5.2,-0.3,8-7-0,53.3%,-0.5,2.6,0-2-0,0.0%,0.0,-3.3,4-1-0,80.0%,1.0,5.6,0-2-0,0.0%,-11.5,-11.3
Utah,9-12-0,42.9%,-10.3,-3.0,3-7-0,30.0%,-14.0,-7.6,1-0-0,100.0%,-2.0,0.5,7-9-0,43.8%,-10.4,-2.6,1-3-0,25.0%,-12.0,-5.9,5-5-0,50.0%,-10.3,-1.3,9-12-0,42.9%,-10.3,-3.0,,,,,4-7-0,36.4%,-10.4,-4.6,1-3-0,25.0%,-12.0,-4.1,6-5-0,54.6%,-9.4,-1.8,2-3-0,40.0%,-12.8,-5.4,4-2-0,66.7%,-2.2,6.4,1-4-0,20.0%,-12.8,-5.7
Boston,9-12-0,42.9%,10.3,0.4,5-4-0,55.6%,10.2,3.1,1-0-0,100.0%,23.0,17.0,3-1-0,75.0%,15.8,4.9,5-11-0,31.3%,8.1,-1.8,5-6-0,45.5%,11.5,1.9,0-1-0,0.0%,-4.0,-2.5,9-11-0,45.0%,11.0,0.5,4-6-0,40.0%,9.0,-1.3,3-1-0,75.0%,21.5,11.4,5-7-0,41.7%,6.7,-2.6,2-4-0,33.3%,10.3,-0.8,2-4-0,33.3%,10.3,-2.5,0-4-0,0.0%,6.8,-5.9
Milwaukee,8-11-1,42.1%,1.9,-1.6,7-3-1,70.0%,6.9,2.1,1-0-0,100.0%,15.0,11.0,3-6-0,33.3%,-2.0,-3.9,4-5-1,44.4%,4.1,-0.8,4-5-0,44.4%,-3.7,-3.3,2-3-0,40.0%,-7.6,-0.8,6-8-1,42.9%,5.1,-1.9,4-6-1,40.0%,6.5,-0.2,0-3-1,0.0%,-5.0,-4.9,4-5-0,44.4%,1.1,-2.7,1-4-0,20.0%,-2.0,-6.2,0-4-0,0.0%,-7.0,-6.1,3-3-0,50.0%,5.5,0.1
Miami,8-11-0,42.1%,0.3,-0.8,4-9-0,30.8%,-3.0,-3.3,1-1-0,50.0%,-7.0,-9.3,6-3-0,66.7%,3.1,3.9,2-7-0,22.2%,-0.4,-3.3,5-6-0,45.5%,-0.3,0.4,3-4-0,42.9%,-5.6,-0.6,5-7-0,41.7%,3.7,-1.0,3-5-0,37.5%,1.0,-2.5,1-2-0,33.3%,0.7,1.5,3-8-0,27.3%,-2.2,-2.9,3-0-0,100.0%,8.7,7.3,1-2-0,33.3%,6.0,1.8,3-0-0,100.0%,13.7,10.0
