,Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
20,21,55.6,12:00 PM,Rock Hill Sports & Event Center,212,Ga Southern,215,Wm & Mary,,,2-2-1,50.0%,4.8,0.5,0-1-0,0.0%,-8.0,-2.5,1-1-1,50.0%,10.0,-0.5,2-2-0,50.0%,8.8,-1.9,1-0-0,100.0%,29.5,+9.0,1-0-0,100.0%,-1.0,6.0
21,22,47.6,2:00 PM,HTC Center,194,Jksnville St,278,Coastal Car,Jacksonville State,Coastal Carolina,0-2-0,0.0%,21.0,-2.5,0-1-0,0.0%,-6.0,-4.5,0-1-0,0.0%,5.0,-0.5,2-0-1,100.0%,-4.0,4.5,0-0-1,0.0%,4.0,0.0,2-0-0,100.0%,-8.0,6.8
22,23,47.5,2:00 PM,Watsco Center,361,Coppin St,43,Miami,Coppin State,Miami FL,2-3-0,40.0%,-22.0,-0.7,2-2-0,50.0%,-24.8,-0.4,,,,,1-1-0,50.0%,32.5,4.8,1-1-0,50.0%,32.5,+4.8,,,,
23,24,42.7,3:00 PM,Show Me Center,178,Chattanooga,317,Se Missouri,Chattanooga,,2-2-0,50.0%,-7.5,-3.1,1-2-0,33.3%,-14.7,-5.0,1-1-0,50.0%,4.0,-3.0,1-1-0,50.0%,6.0,4.8,0-0-0,0.0%,55.0,--,1-1-0,50.0%,-18.5,4.8
24,25,41.2,4:00 PM,Hamilton Gymnasium,193,Montana St,316,Denver,Montana State,Denver,1-1-0,50.0%,8.7,-2.5,1-1-0,50.0%,-16.0,-2.5,,,,,2-1-0,66.7%,2.0,4.3,1-0-0,100.0%,20.0,+6.5,1-1-0,50.0%,-16.0,3.3
25,26,35.5,1:00 PM,Alumni Hall,277,Campbell,272,Navy,,Navy,1-1-0,50.0%,20.0,-1.0,1-0-0,100.0%,-9.0,7.0,0-1-0,0.0%,-1.0,-9.0,2-1-0,66.7%,-4.3,-1.5,1-1-0,50.0%,-3.0,-6.8,1-0-0,100.0%,-7.0,9.0
26,27,35.0,7:00 PM,Reese Court,315,Cal Poly,231,E Washingtn,Cal Poly,Eastern Washington,2-1-0,66.7%,2.8,5.8,1-1-0,50.0%,-13.0,4.5,,,,,2-1-0,66.7%,-6.7,7.8,1-0-0,100.0%,7.0,+15.0,2-1-0,66.7%,-6.7,7.8
27,28,31.1,6:00 PM,Pizzitola Sports Center,319,Sacred Hrt,251,Brown,Sacred Heart,Brown,2-3-0,40.0%,-8.4,1.5,1-2-0,33.3%,-17.3,0.0,0-1-0,0.0%,-7.0,-9.5,1-3-0,25.0%,1.8,-3.8,1-2-0,33.3%,2.7,-3.8,,,,
28,29,30.2,2:00 PM,McAlister Field House,275,Nc A&T,300,Citadel,,,2-0-0,100.0%,10.3,10.5,2-0-0,100.0%,-10.5,10.5,,,,,2-0-0,100.0%,17.0,13.3,1-0-0,100.0%,25.7,+19.0,1-0-0,100.0%,-9.0,7.5
29,30,14.5,4:00 PM,UPMC Events Center,357,New Orleans,298,Rob Morris,New Orleans,Robert Morris,2-2-0,50.0%,-14.8,-5.5,1-0-0,100.0%,-24.0,6.5,1-1-0,50.0%,-9.0,-12.0,3-1-0,75.0%,4.4,1.0,2-0-0,100.0%,18.0,+5.3,1-1-0,50.0%,-16.0,-3.3
30,31,13.5,2:30 PM,Pizzitola Sports Center,355,N Hampshire,305,Holy Cross,New Hampshire,Holy Cross,0-5-0,0.0%,-13.2,-9.2,0-3-0,0.0%,-28.7,-8.2,,,,,3-1-0,75.0%,-5.8,7.8,,,,,3-1-0,75.0%,-5.8,7.8
31,32,13.4,12:00 PM,University Arena in Read Fieldhouse,333,Canisius,335,W Michigan,Canisius,Western Michigan,1-3-0,25.0%,-16.5,-5.1,1-1-0,50.0%,-19.5,-3.3,0-1-0,0.0%,-10.0,-12.0,0-2-1,0.0%,-0.8,-8.0,0-1-0,0.0%,10.5,-21.5,0-1-1,0.0%,-12.0,-1.3
32,33,9.3,2:00 PM,Bogota Savings Bank Center,337,Manhattan,352,F Dickinson,Manhattan,Fairleigh Dickinson,1-1-0,50.0%,-3.7,3.0,0-1-0,0.0%,-30.0,-4.0,,,,,2-1-0,66.7%,-13.3,-0.5,0-0-0,0.0%,40.0,--,2-1-0,66.7%,-31.0,-0.5
33,34,5.5,1:00 PM,UPMC Events Center,350,Stonehill,354,Lindenwood,,,1-3-0,25.0%,-4.6,5.4,0-3-0,0.0%,-22.7,-2.8,,,,,0-3-0,0.0%,3.3,-6.3,0-0-0,0.0%,68.0,--,0-3-0,0.0%,-18.3,-6.3
34,35,--,4:00 PM,F. G. Clark Activity Center,0,Ecclesia College,276,Southern,,Southern University,,,,,,,,,,,,,1-2-0,33.3%,-10.3,-1.7,,,,,1-1-0,50.0%,-14.5,0.0
35,35,--,5:30 PM,CEFCU Arena - Home of the Redbirds,0,Trinity Christian,171,Illinois St,,Illinois State,,,,,,,,,,,,,2-1-0,66.7%,5.7,3.3,1-1-0,50.0%,4.0,-1.3,2-0-0,100.0%,9.5,12.5
