,Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
22,23,68.8,8:00 PM,Dean E. Smith Center,256,American,13,N Carolina,American,North Carolina,1-2-0,33.3%,-3.0,-1.7,0-2-0,0.0%,-10.5,-9.3,0-1-0,0.0%,-8.0,-10.0,1-1-0,50.0%,5.5,-4.5,0-1-0,0.0%,14.0,-14.0,1-0-0,100.0%,-3.0,5.0
23,24,67.2,5:00 PM,Rock Hill Sports & Event Center,209,Wm & Mary,133,Winthrop,,,1-1-0,50.0%,15.7,-3.3,0-1-0,0.0%,-12.0,-15.5,1-1-0,50.0%,-0.5,-3.3,2-0-0,100.0%,23.0,+3.5,1-0-0,100.0%,37.5,+4.0,1-0-0,100.0%,-6.0,3.0
24,25,65.4,10:00 PM,Pauley Pavilion presented by Wescom,275,Lehigh,25,Ucla,Lehigh,,2-1-0,66.7%,-17.7,-4.8,2-1-0,66.7%,-17.7,-4.8,,,,,2-1-0,66.7%,19.3,+1.7,2-0-0,100.0%,33.0,+8.8,,,,
25,26,63.2,8:00 PM,The Palestra,118,St Josephs,244,U Penn,Saint Josephs,,1-2-0,33.3%,2.7,-7.2,,,,,0-2-0,0.0%,0.5,-16.0,0-3-0,0.0%,0.7,-9.2,0-1-0,0.0%,3.0,-16.5,,,,
26,27,62.7,7:00 PM,Hynes Athletics Center,143,Vermont,229,Iona,Vermont,Iona,1-2-0,33.3%,-20.0,-15.0,1-2-0,33.3%,-20.0,-15.0,0-1-0,0.0%,-14.0,-21.5,1-2-0,33.3%,-7.0,-3.5,0-1-0,0.0%,-6.0,-12.5,1-1-0,50.0%,-7.5,1.0
27,28,59.9,6:30 PM,Jersey Mike's Arena,293,Monmouth,54,Rutgers,,Rutgers,0-3-0,0.0%,-22.0,-14.0,0-2-0,0.0%,-18.5,-9.8,0-1-0,0.0%,-13.0,-15.5,1-1-0,50.0%,16.5,-0.3,1-1-0,50.0%,16.5,-0.3,,,,
28,29,54.8,10:00 PM,Gill Coliseum,291,Cs Fullerton,109,Oregon St,,Oregon State,1-2-0,33.3%,-22.3,-5.7,1-2-0,33.3%,-22.3,-5.7,,,,,2-0-0,100.0%,29.0,+18.3,2-0-0,100.0%,29.0,+18.3,,,,
29,30,51.6,7:00 PM,Paul Porter Arena,254,Elon,194,Gard-Webb,,,1-0-0,100.0%,11.5,+14.0,1-0-0,100.0%,-14.0,14.0,,,,,3-0-0,100.0%,-9.7,+6.7,,,,,3-0-0,100.0%,-9.7,6.7
30,31,49.1,8:00 PM,Welsh-Ryan Arena,356,E Illinois,35,Northwestern,Eastern Illinois,Northwestern,0-2-0,0.0%,-14.7,-14.3,0-2-0,0.0%,-40.0,-14.3,,,,,1-2-0,33.3%,16.0,+7.3,1-1-0,50.0%,26.5,+11.3,0-1-0,0.0%,-5.0,-0.5
31,32,47.0,7:00 PM,G.B. Hodge Center,137,Nc-Wilmgton,324,Sc Upstate,,,1-0-0,100.0%,30.0,+2.5,,,,,1-0-0,100.0%,8.0,2.5,2-1-0,66.7%,-5.5,+7.3,0-0-0,0.0%,33.0,--,2-1-0,66.7%,-18.3,7.3
32,33,45.1,10:00 PM,Dale E. and Sarah Ann Fowler Events Center,313,Liu,169,Cal Baptist,,California Baptist,1-0-1,100.0%,13.0,+10.3,1-0-1,100.0%,-10.5,10.3,,,,,0-3-0,0.0%,2.7,-5.8,0-3-0,0.0%,2.7,-5.8,,,,
33,34,45.0,7:00 PM,Clune Arena,171,Belmont,309,Air Force,Belmont,Air Force,1-1-0,50.0%,7.3,+1.5,1-0-0,100.0%,1.0,7.5,0-1-0,0.0%,-2.0,-4.5,1-2-0,33.3%,-6.3,-12.3,1-2-0,33.3%,-6.3,-12.3,,,,
34,35,44.7,7:30 PM,Rock Hill Sports & Event Center,267,Nc Central,224,Ga Southern,,,1-2-0,33.3%,-13.0,-2.8,1-1-0,50.0%,-16.5,-0.5,0-1-0,0.0%,-6.0,-7.5,1-2-0,33.3%,5.7,-1.3,1-1-0,50.0%,12.5,-0.8,0-1-0,0.0%,-8.0,-2.5
35,36,44.1,7:00 PM,M&T Bank Arena,242,Maine,257,Quinnipiac,Maine,Quinnipiac,1-1-0,50.0%,6.3,+2.0,1-1-0,50.0%,-16.0,2.0,,,,,0-2-0,0.0%,-8.3,-10.5,0-0-0,0.0%,24.0,--,0-2-0,0.0%,-24.5,-10.5
36,37,42.0,7:00 PM,McCann Arena,281,Army,230,Marist,Army West Point,Marist,1-1-0,50.0%,6.3,-0.8,0-1-0,0.0%,-42.0,-8.0,1-0-0,100.0%,8.0,6.5,1-1-0,50.0%,-3.0,+3.0,,,,,1-1-0,50.0%,-3.0,3.0
37,38,39.6,7:00 PM,Yuengling Center,352,W Georgia,145,S Florida,,South Florida,2-1-0,66.7%,-20.3,-1.7,2-1-0,66.7%,-20.3,-1.7,,,,,0-3-0,0.0%,-4.7,-7.5,0-1-0,0.0%,16.0,-8.5,0-2-0,0.0%,-15.0,-7.0
38,39,38.6,7:00 PM,Draddy Gymnasium,164,Fordham,346,Manhattan,Fordham,Manhattan,2-1-0,66.7%,-5.3,-0.2,1-1-0,50.0%,-15.5,-0.8,1-0-0,100.0%,15.0,1.0,0-1-0,0.0%,-6.5,-4.0,0-0-0,0.0%,17.0,--,0-1-0,0.0%,-30.0,-4.0
39,40,33.3,1:00 PM,The Greenbrier,262,Tx-Pan Am,299,Charl South,,,2-0-0,100.0%,5.7,+9.5,2-0-0,100.0%,-16.5,9.5,,,,,1-2-0,33.3%,2.3,+3.0,1-0-0,100.0%,58.0,+30.5,0-2-0,0.0%,-25.5,-10.8
40,41,31.2,7:00 PM,Pizzitola Sports Center,339,N Hampshire,223,Brown,New Hampshire,Brown,0-3-0,0.0%,-11.0,-6.5,0-2-0,0.0%,-34.0,-7.5,,,,,0-2-0,0.0%,-1.5,-4.5,0-1-0,0.0%,-2.0,-5.5,,,,
41,42,27.9,5:00 PM,University Arena in Read Fieldhouse,276,Siu Edward,314,W Michigan,,Western Michigan,2-1-0,66.7%,1.8,+4.8,2-1-0,66.7%,-15.3,4.8,,,,,0-1-1,0.0%,5.3,-1.3,0-0-0,0.0%,40.0,--,0-1-1,0.0%,-12.0,-1.3
42,43,14.2,7:00 PM,UPMC Events Center,348,Lindenwood,310,Rob Morris,,Robert Morris,0-2-0,0.0%,9.0,-6.0,0-1-0,0.0%,-33.0,-6.0,,,,,2-1-0,66.7%,2.0,-1.0,1-0-0,100.0%,20.0,+3.5,1-1-0,50.0%,-16.0,-3.3
43,44,13.7,4:30 PM,Pizzitola Sports Center,338,Holy Cross,330,Sacred Hrt,Holy Cross,Sacred Heart,1-1-0,50.0%,-19.0,+3.0,1-1-0,50.0%,-19.0,3.0,,,,,1-2-0,33.3%,-17.3,0.0,,,,,1-2-0,33.3%,-17.3,0.0
44,45,13.6,3:30 PM,The Greenbrier,335,Vmi,332,Tn Tech,,,1-0-0,100.0%,33.3,+15.5,1-0-0,100.0%,5.0,15.5,,,,,1-1-0,50.0%,4.3,+8.5,0-1-0,0.0%,9.0,-3.5,1-0-0,100.0%,-5.0,20.5
45,46,11.5,7:00 PM,Chartway Arena at the Ted Constant Convocation Cen,360,Maryland Es,317,Old Dominion,,Old Dominion,2-1-0,66.7%,-10.3,+3.0,2-1-0,66.7%,-20.0,3.0,,,,,0-3-0,0.0%,-23.7,-15.2,0-1-0,0.0%,-1.0,-11.5,0-2-0,0.0%,-35.0,-17.0
46,47,6.3,4:00 PM,UPMC Events Center,358,Stonehill,345,New Orleans,,New Orleans,0-3-0,0.0%,-12.3,-2.8,0-3-0,0.0%,-22.7,-2.8,,,,,2-1-0,66.7%,-11.0,+2.7,0-1-0,0.0%,-17.0,-4.5,1-1-0,50.0%,-20.5,1.0
47,48,--,8:00 PM,Schoenecker Arena,0,St. Norbert,180,St. Thomas,,Saint Thomas MN,,,,,,,,,,,,,2-0-0,100.0%,10.0,+7.0,0-0-0,0.0%,25.0,--,1-0-0,100.0%,-9.0,3.5
48,48,--,8:00 PM,College Park Center,0,Texas College,167,Tx-Arlington,,,,,,,,,,,,,,,1-1-0,50.0%,5.7,-1.8,0-1-0,0.0%,10.0,-16.5,1-0-0,100.0%,-3.0,13.0
49,48,--,7:00 PM,Leo D. Mahoney Arena,0,John Jay College,277,Fairfield,,Fairfield,,,,,,,,,,,,,2-1-0,66.7%,-14.7,-6.2,,,,,1-1-0,50.0%,-25.0,-11.5
