Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
12,67.3,7:00 PM,Eleanor R. Baldwin Arena,237,Jacksonville,94,Fla Atlantic,Jacksonville,Jacksonville,Florida Atlantic,Florida Atlantic,+12.5,−112,True,-12.5,−108,False,Jacksonville,103-99-3,51.0%,-0.2,0.3,59-56-1,51.3%,-7.9,-0.6,Fla Atlantic,148-145-5,50.5%,2.9,0.8,63-55-1,53.4%,9.7,1.7,Jacksonville,+12.5,−112,62-61-1,50.4%,-9.3,-0.1,Fla Atlantic,-12.5,−108,72-72-2,50.0%,7.9,0.8
13,66.4,7:00 PM,McKillop Court at John M. Belk Arena,216,Charlotte,127,Davidson,Charlotte,Charlotte,Davidson,Davidson,+9,−112,True,-9,−108,False,Charlotte,142-153-5,48.1%,-1.3,-0.5,48-76-2,38.7%,-6.5,-1.9,Davidson,163-143-3,53.3%,5.1,0.4,69-61-1,53.1%,12.0,1.1,Charlotte,+9,−112,78-84-3,48.2%,-8.0,-0.7,Davidson,-9,−108,117-89-1,56.8%,9.2,1.1
14,65.9,7:00 PM,Cameron Indoor Stadium,274,Incar Word,2,Duke,UIW,Incarnate Word,Duke,Duke,N/A,N/A,False,N/A,N/A,False,Incar Word,83-91-1,47.7%,-4.4,-1.1,44-47-0,48.4%,-11.8,-0.7,Duke,184-168-8,52.3%,12.1,0.3,87-77-4,53.1%,18.6,0.4,Duke,N/A,N/A,18-16-2,52.9%,-0.4,3.2,Incar Word,N/A,N/A,7-14-0,33.3%,-1.4,-5.3
15,65.2,7:00 PM,JMA Wireless Dome,247,Albany,96,Syracuse,Albany NY,Albany,Syracuse,Syracuse,+12.5,−108,True,-12.5,−112,False,Albany,95-109-4,46.6%,1.3,-0.5,58-49-4,54.2%,-2.1,1.0,Syracuse,157-166-5,48.6%,3.4,0.2,82-85-3,49.1%,8.9,0.1,Albany,+12.5,−108,60-65-2,48.0%,-7.1,0.7,Syracuse,-12.5,−112,93-98-1,48.7%,8.4,-0.3
16,62.2,11:00 PM,Alaska Airlines Arena at Hec Edmundson Pavilion,256,E Washingtn,108,Washington,Eastern Washington,Eastern Washington,Washington,Washington,+13.5,−115,True,-13.5,−105,False,E Washingtn,172-137-3,55.7%,4.2,1.5,97-72-2,57.4%,-2.9,1.5,Washington,155-166-4,48.3%,0.4,-0.3,73-91-2,44.5%,5.0,-0.9,E Washingtn,+13.5,−115,76-60-1,55.9%,-7.0,1.4,Washington,-13.5,−105,71-77-2,48.0%,9.0,0.0
17,56.8,8:00 PM,Sanford Coyote Sports Center,192,Wyoming,228,South Dakota,Wyoming,Wyoming,,South Dakota,+1,−112,True,N/A,N/A,False,Wyoming,149-157-7,48.7%,-0.2,-0.2,59-58-2,50.4%,-6.9,-0.7,South Dakota,151-138-4,52.3%,2.1,0.0,63-47-2,57.3%,10.7,1.2,Wyoming,+1,−112,93-86-4,52.0%,-7.5,0.2,South Dakota,N/A,N/A,76-61-2,55.5%,6.7,0.5
18,54.4,7:00 PM,Jadwin Gymnasium,293,Monmouth,115,Princeton,,Monmouth-NJ,Princeton,Princeton,N/A,N/A,False,N/A,N/A,False,Monmouth,160-151-7,51.5%,-0.5,-0.1,80-74-4,52.0%,-4.1,-0.1,Princeton,122-117-3,51.1%,6.1,0.8,45-50-0,47.4%,11.8,-0.1,Princeton,N/A,N/A,35-39-2,47.3%,-5.8,0.2,Monmouth,N/A,N/A,80-79-4,50.3%,6.0,-0.4
19,52.9,8:00 PM,E.A. Diddle Arena,301,Tn State,112,W Kentucky,Tennessee State,Tennessee St.,Western Kentucky,Western Kentucky,+16,−108,True,-16,−112,False,Tn State,126-142-6,47.0%,-0.4,-0.6,62-77-4,44.6%,-7.3,-0.8,W Kentucky,164-149-4,52.4%,3.6,-0.1,67-65-4,50.8%,9.2,-0.3,Tn State,+16,−108,70-81-5,46.4%,-9.4,-0.4,W Kentucky,-16,−112,97-100-3,49.2%,6.2,-1.0
20,49.7,7:00 PM,Cintas Center,343,Morgan St,63,Xavier,Morgan State,Morgan St.,Xavier,Xavier,+30,−108,True,-30,−112,False,Morgan St,81-104-1,43.8%,-1.7,-1.5,46-57-0,44.7%,-9.7,-1.8,Xavier,170-170-7,50.0%,5.3,0.1,84-88-3,48.8%,10.3,0.2,Morgan St,+30,−108,58-63-1,47.9%,-10.3,-1.1,Xavier,-30,−112,113-118-3,48.9%,9.5,-0.3
21,49.4,8:30 PM,Avron B. Fogelman Arena in Devlin Fieldhouse,250,S Mississippi,217,Tulane,Southern Mississippi,Southern Miss,Tulane,Tulane,N/A,N/A,False,-6,−110,False,S Mississippi,138-142-6,49.3%,-2.8,-0.6,59-73-4,44.7%,-10.4,-2.2,Tulane,131-153-6,46.1%,-2.2,-0.7,58-77-2,43.0%,2.3,-1.3,Tulane,-6,−110,81-92-5,46.8%,-8.8,0.1,S Mississippi,N/A,N/A,44-32-3,57.9%,5.3,0.1
22,45.8,7:00 PM,Reynolds Coliseum,362,Coppin St,62,Nc State,Coppin State,Coppin St.,North Carolina State,NC State,+33,−112,True,N/A,N/A,False,Coppin St,106-108-4,49.5%,-10.9,-0.8,72-63-4,53.3%,-15.4,-0.4,Nc State,151-173-9,46.6%,3.7,0.3,77-94-3,45.0%,9.1,-0.1,Coppin St,+33,−112,90-93-3,49.2%,-14.1,-0.4,Nc State,N/A,N/A,86-98-3,46.7%,10.0,0.0
23,31.5,10:00 PM,Chiles Center,246,Kansas City,321,Portland,,Kansas City,,Portland,N/A,N/A,False,N/A,N/A,False,Kansas City,116-109-4,51.6%,0.4,0.3,54-50-3,51.9%,-8.2,0.0,Portland,137-154-7,47.1%,-4.1,-1.3,56-73-4,43.4%,1.2,-2.6,Portland,N/A,N/A,90-110-5,45.0%,-12.0,-1.5,Kansas City,N/A,N/A,39-42-0,48.2%,3.5,-2.1
24,20.9,10:00 PM,Jenny Craig Pavilion,306,Lg Beach St,324,San Diego,Long Beach State,Long Beach St.,UC San Diego,UC San Diego,+5,−110,True,N/A,N/A,False,Lg Beach St,154-151-6,50.5%,-1.6,-0.4,75-76-1,49.7%,-7.5,-0.3,San Diego,133-156-4,46.0%,-2.7,-0.7,55-79-3,41.0%,0.8,-1.8,Lg Beach St,+5,−110,93-81-3,53.5%,-9.0,0.0,San Diego,N/A,N/A,45-61-3,42.5%,4.5,-1.6
