,Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
30,31,56.8,7:00 PM,XL Center,323,Le Moyne,7,Connecticut,Le Moyne,UConn,1-1-0,50.0%,2.7,-0.8,1-0-0,100.0%,-4.0,18.0,,,,,2-0-0,100.0%,37.5,+1.5,2-0-0,100.0%,37.5,+1.5,,,,
31,32,53.6,7:00 PM,Matthews Arena,249,Harvard,187,Northeastrn,Harvard,,1-2-0,33.3%,-1.3,-2.2,0-2-0,0.0%,-8.5,-8.3,1-1-0,50.0%,0.5,-1.8,2-0-0,100.0%,2.5,+7.5,1-0-0,100.0%,-3.0,+4.5,2-0-0,100.0%,2.5,7.5
32,33,51.7,9:00 PM,CHI Health Center Omaha,343,Hsn Christian,34,Creighton,Houston Christian,Creighton,1-0-0,100.0%,-2.0,+2.5,1-0-0,100.0%,-31.0,2.5,,,,,0-2-0,0.0%,19.5,-13.0,0-2-0,0.0%,19.5,-13.0,,,,
33,34,50.8,7:00 PM,Lawrence Joel Veterans Memorial Coliseum,342,Sc Upstate,53,Wake Forest,,Wake Forest,1-1-0,50.0%,-5.7,-1.3,1-1-0,50.0%,-25.0,-1.3,,,,,1-2-0,33.3%,11.0,-8.7,0-2-0,0.0%,15.5,-15.0,1-0-0,100.0%,2.0,4.0
34,35,48.2,8:00 PM,Pinnacle Bank Arena,349,F Dickinson,68,Nebraska,Fairleigh Dickinson,Nebraska,1-1-0,50.0%,-9.0,-1.8,1-1-0,50.0%,-33.5,-1.8,,,,,0-2-0,0.0%,12.5,-10.5,0-2-0,0.0%,12.5,-10.5,,,,
35,36,43.4,7:00 PM,Sojka Pavilion,287,Mt St Marys,208,Bucknell,,Bucknell,0-1-0,0.0%,1.0,-10.0,0-1-0,0.0%,-34.0,-10.0,,,,,3-0-0,100.0%,-3.3,+6.2,,,,,2-0-0,100.0%,-8.0,7.8
36,37,35.9,7:00 PM,Global Credit Union Arena at GCU,254,Howard,292,Tn State,Howard,,1-1-0,50.0%,-9.0,+0.8,1-1-0,50.0%,-22.5,0.8,,,,,1-1-0,50.0%,2.3,+5.8,0-0-0,0.0%,30.0,--,1-1-0,50.0%,-11.5,5.8
37,38,26.7,5:00 PM,Leede Arena,296,Albany,301,Dartmouth,Albany NY,Dartmouth,0-1-0,0.0%,6.0,-6.5,0-1-0,0.0%,-8.0,-6.5,,,,,1-0-0,100.0%,43.5,+2.5,1-0-0,100.0%,43.5,+2.5,,,,
38,39,24.1,7:30 PM,The Field House,263,Southern,347,Tx A&M-Com,Southern University,,1-1-0,50.0%,-14.5,0.0,1-1-0,50.0%,-14.5,0.0,,,,,2-1-0,66.7%,-20.7,+3.2,,,,,2-1-0,66.7%,-20.7,3.2
39,40,23.3,8:00 PM,LeRoy A. Ufkes Court at Western Hall,322,Wi-Grn Bay,294,W Illinois,,Western Illinois,1-1-0,50.0%,-13.5,-3.0,1-0-0,100.0%,-13.0,4.5,,,,,1-1-0,50.0%,-4.5,+3.5,,,,,1-1-0,50.0%,-4.5,3.5
40,41,22.5,6:30 PM,Freedom Hall,306,S Indiana,316,Bellarmine,Southern Indiana,,1-2-0,33.3%,-7.3,+1.8,1-1-0,50.0%,-8.0,4.3,,,,,1-1-0,50.0%,-12.0,-6.5,0-1-0,0.0%,-5.0,-15.5,1-0-0,100.0%,-19.0,2.5
41,42,15.4,7:00 PM,Owen McCormick Court at the Mercyhurst Athletic,303,Canisius,355,Mercyhurst,Canisius,,1-1-0,50.0%,-19.0,+2.0,1-0-0,100.0%,-29.0,5.5,,,,,2-0-0,100.0%,4.7,+7.3,0-0-0,0.0%,26.0,--,2-0-0,100.0%,-6.0,7.3
42,43,--,8:00 PM,Alabama A&M Events Center,0,Fisk,307,Alab A&M,,Alabama A&M,,,,,,,,,,,,,0-0-0,0.0%,44.5,--,0-0-0,0.0%,44.5,--,,,,
43,43,--,7:30 PM,Show Me Center,0,Crowley'S Ridge College,334,Se Missouri,,,,,,,,,,,,,,,1-1-0,50.0%,-18.5,+4.8,,,,,1-1-0,50.0%,-18.5,4.8
44,43,--,9:00 PM,Dee Glen Smith Spectrum,0,Westminster College,30,Utah St,,Utah State,,,,,,,,,,,,,2-0-0,100.0%,42.0,+21.0,2-0-0,100.0%,42.0,+21.0,,,,
45,43,--,7:00 PM,John J. Lee Amphitheater,0,Emerson,109,Yale,,Yale,,,,,,,,,,,,,2-1-0,66.7%,2.0,+2.2,1-0-0,100.0%,26.0,+18.0,1-0-0,100.0%,-8.0,6.5
46,43,--,9:00 PM,Burns Arena,0,Bethesda University,318,Utah Tech,,Utah Tech,,,,,,,,,,,,,0-2-0,0.0%,-17.5,-11.0,0-1-0,0.0%,-12.0,-8.5,0-2-0,0.0%,-17.5,-11.0
47,43,--,7:00 PM,KSU Convocation Center,0,Bryan,224,Kennesaw St,,Kennesaw State,,,,,,,,,,,,,1-0-0,100.0%,22.5,+6.5,0-0-0,0.0%,49.0,--,1-0-0,100.0%,-4.0,6.5
48,43,--,7:00 PM,Gore Arena/Pope Convocation Center,0,Newberry,293,Campbell,,,,,,,,,,,,,,,1-1-0,50.0%,12.3,-1.0,0-1-0,0.0%,23.0,-9.0,1-0-0,100.0%,-9.0,7.0
