,Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
22,23,54.9,8:00 PM,Pete Maravich Assembly Center,325,Charl South,37,Lsu,,,1-4-0,20.0%,-2.8,-2.1,0-2-0,0.0%,-25.5,-10.8,1-1-0,50.0%,23.5,8.3,2-1-0,66.7%,19.7,8.8,1-1-0,50.0%,24.0,+3.3,1-0-0,100.0%,11.0,20.0
23,24,53.9,7:00 PM,Harry A. Gampel Pavilion,338,Tx A&M-Com,5,Connecticut,,UConn,3-1-0,75.0%,-15.0,3.6,2-1-0,66.7%,-20.7,3.2,,,,,3-0-0,100.0%,38.7,2.2,3-0-0,100.0%,38.7,+2.2,,,,
24,25,53.4,7:00 PM,Leo D. Mahoney Arena,157,Drexel,273,Fairfield,Drexel,Fairfield,3-0-0,100.0%,14.5,8.3,1-0-0,100.0%,-8.0,3.0,,,,,2-1-0,66.7%,1.3,-6.2,0-0-0,0.0%,49.0,--,1-1-0,50.0%,-25.0,-11.5
25,26,52.1,7:00 PM,KFC Yum! Center,331,Bellarmine,63,Louisville,,Louisville,1-3-0,25.0%,-11.8,-7.6,1-1-0,50.0%,-20.0,-4.3,0-2-0,0.0%,-3.5,-11.0,1-1-0,50.0%,13.0,0.8,1-1-0,50.0%,13.0,+0.8,,,,
26,27,50.7,7:00 PM,Xfinity Center,347,Canisius,36,Maryland,Canisius,Maryland,1-4-0,20.0%,-17.8,-7.5,1-2-0,33.3%,-20.7,-7.8,0-1-0,0.0%,-10.0,-12.0,2-2-0,50.0%,22.8,1.8,2-2-0,50.0%,22.8,+1.8,,,,
27,28,50.3,7:00 PM,Addition Financial Arena,344,Tn Tech,51,Ucf,,,1-3-0,25.0%,-2.2,-1.0,1-0-0,100.0%,-5.0,20.5,0-2-0,0.0%,2.0,-3.3,2-1-0,66.7%,5.3,2.2,2-1-0,66.7%,5.3,+2.2,1-0-0,100.0%,3.0,9.5
28,29,50.0,9:00 PM,Wintrust Arena,333,E Illinois,93,Depaul,Eastern Illinois,,1-2-0,33.3%,-13.3,-4.7,1-2-0,33.3%,-29.7,-4.7,,,,,3-1-0,75.0%,23.0,11.4,3-1-0,75.0%,23.0,+11.4,,,,
29,30,48.7,7:00 PM,Exactech Arena at the Stephen C. O'Connell Center,360,Florida A&M,27,Florida,Florida A&M,Florida,2-1-0,66.7%,-35.3,-5.2,2-1-0,66.7%,-35.3,-5.2,,,,,2-2-0,50.0%,18.3,1.6,0-2-0,0.0%,22.5,-2.5,,,,
30,31,48.0,6:00 PM,Conte Forum,311,Loyola-Md,143,Boston Col,,Boston College,2-1-0,66.7%,7.5,5.7,1-1-0,50.0%,-4.0,6.8,1-0-0,100.0%,18.0,15.5,1-2-0,33.3%,-4.3,-5.7,1-1-0,50.0%,6.0,-1.5,1-1-0,50.0%,-11.0,-4.8
31,32,47.9,7:00 PM,Amica Mutual Pavilion,341,Delaware St,88,Providence,Delaware State,Providence,0-2-0,0.0%,3.5,-6.8,0-2-0,0.0%,-22.0,-6.8,,,,,1-3-0,25.0%,13.5,-7.0,1-3-0,25.0%,13.5,-7.0,,,,
32,33,46.7,8:00 PM,McLeod Center,322,W Illinois,134,N Iowa,Western Illinois,,1-3-0,25.0%,-5.3,-3.6,1-1-0,50.0%,-4.5,3.5,0-2-0,0.0%,-6.0,-10.8,2-1-0,66.7%,8.8,-3.2,1-1-0,50.0%,13.7,-5.5,1-0-0,100.0%,-6.0,1.5
33,34,46.3,8:00 PM,Ed and Rae Schollmaier Arena,363,Alcorn St,57,Tx Christian,Alcorn,,0-3-0,0.0%,-33.8,-18.7,0-3-0,0.0%,-33.8,-18.7,,,,,1-3-0,25.0%,13.8,0.5,1-2-0,33.3%,22.3,+2.3,0-1-0,0.0%,-12.0,-5.0
34,35,44.5,8:00 PM,Bramlage Coliseum,364,Miss Val St,73,Kansas St,Mississippi Valley,Kansas State,1-2-0,33.3%,-35.0,-11.7,1-2-0,33.3%,-52.3,-11.7,,,,,0-3-0,0.0%,8.7,-12.2,0-3-0,0.0%,8.7,-12.2,,,,
35,36,42.8,7:00 PM,Resch Center,216,Siu Edward,286,Wi-Grn Bay,,,4-1-0,80.0%,7.3,9.7,3-1-0,75.0%,-6.8,9.0,1-0-0,100.0%,18.0,12.5,3-1-0,75.0%,-6.8,2.9,0-1-0,0.0%,-14.0,-10.5,3-1-0,75.0%,-6.8,2.9
36,37,41.6,7:00 PM,Patrick Gymnasium,340,Buffalo,148,Vermont,Buffalo,Vermont,2-1-0,66.7%,-5.5,3.2,2-0-0,100.0%,-4.0,13.0,,,,,1-3-0,25.0%,-15.8,-13.0,,,,,1-1-0,50.0%,-23.0,-11.8
37,38,41.0,7:00 PM,The Coliseum,133,Troy,352,W Georgia,,,2-2-0,50.0%,-2.5,-0.6,1-2-0,33.3%,-6.7,-2.2,2-0-0,100.0%,13.5,4.3,2-2-0,50.0%,-20.0,-1.4,,,,,2-2-0,50.0%,-20.0,-1.4
38,39,40.0,6:30 PM,Holmes Convocation Center,306,Queens,210,App State,Queens NC,Appalachian State,1-2-0,33.3%,-2.8,-4.0,0-2-0,0.0%,-37.5,-10.3,1-0-0,100.0%,13.0,8.5,0-2-0,0.0%,3.0,-18.3,0-1-0,0.0%,20.0,-21.0,0-1-0,0.0%,-31.0,-15.5
39,40,36.9,6:07 PM,Events Center,198,Longwood,330,Binghamton,Longwood,Binghamton,2-1-0,66.7%,11.3,2.8,,,,,2-1-0,66.7%,11.3,2.8,2-2-0,50.0%,-6.6,-4.3,1-0-0,100.0%,24.0,+1.5,1-2-0,33.3%,-27.0,-6.2
40,41,34.4,7:00 PM,Case Gym,289,Wagner,265,Boston U,Wagner,Boston University,1-2-0,33.3%,-7.0,-4.0,1-2-0,33.3%,-23.3,-4.0,,,,,1-3-0,25.0%,-6.3,-1.1,1-1-0,50.0%,10.0,+6.3,0-2-0,0.0%,-22.5,-8.5
41,42,33.8,7:00 PM,Stroh Center,324,Niagara,228,Bowling Grn,Niagara,Bowling Green,0-2-0,0.0%,-2.3,-5.3,0-2-0,0.0%,-21.0,-5.3,,,,,2-2-0,50.0%,8.8,10.3,1-1-0,50.0%,29.0,+17.5,1-2-0,33.3%,-9.7,1.8
42,43,31.9,5:30 PM,Alumni Hall,261,Quinnipiac,307,Navy,Quinnipiac,Navy,0-3-0,0.0%,-5.5,-7.8,0-2-0,0.0%,-24.5,-10.5,0-1-0,0.0%,3.0,-2.5,2-2-0,50.0%,-8.3,-7.6,1-2-0,33.3%,-8.7,-13.2,1-0-0,100.0%,-7.0,9.0
43,44,28.9,7:00 PM,Chesapeake Employers Insurance Arena,319,Hampton,264,Maryland Bc,,,1-2-0,33.3%,2.8,-1.8,1-1-0,50.0%,-18.5,-0.5,,,,,1-2-0,33.3%,11.2,-6.8,1-1-0,50.0%,26.3,+3.0,0-2-0,0.0%,-28.5,-16.3
44,45,26.9,7:00 PM,McCann Arena,346,Dartmouth,240,Marist,Dartmouth,Marist,1-2-0,33.3%,11.3,-12.8,0-1-0,0.0%,-28.0,-23.0,1-1-0,50.0%,-4.5,-7.8,1-2-0,33.3%,-1.0,0.7,0-1-0,0.0%,3.0,-4.0,1-1-0,50.0%,-3.0,3.0
45,46,25.4,7:00 PM,Emil and Patricia Jones Convocation Center,238,E Kentucky,357,Chicago St,Eastern Kentucky,Chicago State,2-0-0,100.0%,6.7,12.5,2-0-0,100.0%,-4.5,12.5,,,,,1-3-0,25.0%,-29.8,-8.3,0-1-0,0.0%,-20.0,-14.5,1-3-0,25.0%,-29.8,-8.3
46,47,--,9:00 PM,Idaho Central Credit Union Arena,0,Evergreen State,299,Idaho,,Idaho,,,,,,,,,,,,,1-2-0,33.3%,-4.3,-1.7,0-1-0,0.0%,15.0,-2.0,1-2-0,33.3%,-17.0,-1.7
47,47,--,2:00 PM,Joseph C. Rolle Activity Center,0,Embry-Riddle (Az),248,N Arizona,,Northern Arizona,,,,,,,,,,,,,1-1-0,50.0%,19.0,0.3,0-0-0,0.0%,49.5,--,1-1-0,50.0%,-11.5,0.3
48,47,--,7:30 PM,Prather Coliseum,0,John Melvin University,301,Nw State,,,,,,,,,,,,,,,3-0-0,100.0%,0.5,9.7,0-0-0,0.0%,41.0,--,3-0-0,100.0%,-13.0,9.7
49,47,--,7:00 PM,Owen McCormick Court at the Mercyhurst Athletic,0,Mt. Aloysius,350,Mercyhurst,,,,,,,,,,,,,,,3-0-1,100.0%,2.0,6.6,1-0-0,100.0%,18.0,+12.0,3-0-1,100.0%,-4.0,6.6
50,47,--,7:00 PM,Gentry Center,0,East-West University,287,Tn State,,,,,,,,,,,,,,,2-2-0,50.0%,2.6,2.9,1-0-0,100.0%,20.0,+1.5,1-2-0,33.3%,-9.0,3.3
51,47,--,7:00 PM,G.B. Hodge Center,0,Southern Wesleyan,320,Sc Upstate,,,,,,,,,,,,,,,3-1-0,75.0%,-5.2,6.8,1-0-0,100.0%,14.5,+5.0,3-1-0,75.0%,-14.8,6.8
52,47,--,7:00 PM,Chartway Arena at the Ted Constant Convocation Cen,0,Randolph-Macon,321,Old Dominion,,Old Dominion,,,,,,,,,,,,,0-4-0,0.0%,-17.3,-13.8,0-2-0,0.0%,0.5,-10.5,0-2-0,0.0%,-35.0,-17.0
53,47,--,7:00 PM,Rose Hill Gymnasium,0,Georgian Court,178,Fordham,,Fordham,,,,,,,,,,,,,2-2-0,50.0%,-4.5,-2.6,1-0-0,100.0%,15.0,+1.0,1-1-0,50.0%,-15.5,-0.8
