Team,ATS Record,Cover %,MOV,ATS +/-
Lg Beach St,85-80-2,51.5%,-5.0,-0.2
Coppin St,34-32-2,51.5%,-13.2,-0.8
Notre Dame,122-115-6,51.5%,5.3,-0.1
Loyola-MD,70-66-1,51.5%,-4.8,+0.1
Morehead St,71-67-0,51.5%,-2.3,+0.1
S Alabama,72-68-1,51.4%,0.0,-0.1
Geo Mason,93-88-1,51.4%,2.0,+0.4
N Alabama,19-18-1,51.4%,-8.9,+0.3
Colorado,100-95-4,51.3%,4.3,+1.3
Evansville,80-76-6,51.3%,-2.7,-0.6
Nicholls,20-19-1,51.3%,-8.5,+1.3
Rhode Island,101-96-3,51.3%,1.1,+0.3
W Carolina,61-58-6,51.3%,-5.1,+0.3
Duke,146-139-7,51.2%,14.2,0.0
Cal St Nrdge,65-62-4,51.2%,-3.2,-1.0
Michigan,130-124-2,51.2%,3.6,0.0
LA Tech,68-65-1,51.1%,2.0,-0.7
Wyoming,91-87-2,51.1%,0.9,-0.2
S Utah,46-44-0,51.1%,-4.2,-0.2
Pittsburgh,117-112-4,51.1%,5.7,+0.5
Texas Tech,95-91-1,51.1%,4.5,0.0
Loyola Mymt,72-69-6,51.1%,-3.5,+0.1
NC State,122-117-5,51.1%,4.2,+0.4
N Iowa,74-71-4,51.0%,1.0,-0.1
Grambling St,25-24-1,51.0%,-11.6,+0.6
Illinois St,78-75-3,51.0%,2.5,+0.4
Alabama,81-78-4,50.9%,6.2,+0.5
VA Tech,110-106-3,50.9%,2.4,+0.7
Stony Brook,28-27-3,50.9%,-1.6,0.0
Texas,88-85-4,50.9%,7.7,0.0
Illinois,123-119-6,50.8%,4.7,+0.3
New Orleans,61-59-2,50.8%,-5.8,-0.4
San Diego St,96-93-8,50.8%,3.7,-0.3
Seattle,34-33-0,50.8%,-2.8,+1.6
Miami,105-102-5,50.7%,4.2,-0.1
Northwestern,111-108-6,50.7%,0.2,+0.4
UC Irvine,75-73-4,50.7%,-0.1,+0.6
Utah,77-75-4,50.7%,5.2,-0.4
Niagara,78-76-5,50.7%,-1.9,-0.3
Washington,87-85-3,50.6%,4.4,+0.2
Towson,50-49-2,50.5%,-3.6,+0.4
