Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
22,66.3,9:30 PM,Spokane Arena,249,E Washingtn,78,Wash State,Eastern Washington,Eastern Washington,Washington State,Washington St.,+11.5,−110,True,-11.5,−110,False,E Washingtn,354-319-12,52.6%,1.2,0.7,193-176-7,52.3%,-5.7,0.4,Wash State,372-404-12,47.9%,-0.4,0.1,193-184-2,51.2%,5.0,0.7,E Washingtn,+11.5,−110,180-170-7,51.4%,-8.2,0.6,Wash State,-11.5,−110,157-163-2,49.1%,8.9,0.6
23,53.7,7:30 PM,William R. Johnson Coliseum,257,Presbyterian,179,Ste F Austin,Presbyterian,Presbyterian,SFA,Stephen F. Austin,+9,−112,True,N/A,N/A,False,Presbyterian,113-107-6,51.4%,-5.1,-0.7,63-61-2,50.8%,-12.2,-0.8,Ste F Austin,96-118-5,44.9%,6.4,-0.4,33-43-1,43.4%,13.4,-0.2,Presbyterian,+9,−112,93-80-3,53.8%,-10.1,-0.3,Ste F Austin,N/A,N/A,67-72-3,48.2%,8.9,0.4
24,53.5,8:30 PM,Crisler Center,338,Tarleton St,22,Michigan,Tarleton State,Tarleton State,Michigan,Michigan,+31,−112,True,-31,−108,False,Tarleton St,55-54-1,50.5%,3.3,0.7,29-30-0,49.2%,-7.3,0.3,Michigan,427-404-11,51.4%,3.9,0.5,209-182-4,53.5%,9.6,0.4,Tarleton St,+31,−112,33-35-0,48.5%,-7.9,0.8,Michigan,-31,−108,254-223-6,53.3%,9.6,0.4
25,51.0,8:00 PM,Lloyd Noble Center,342,Tx A&M-Com,49,Oklahoma,Texas A&M-Commerce,Texas A&M Commerce,Oklahoma,Oklahoma,N/A,N/A,False,-27.5,−110,False,Tx A&M-Com,32-33-2,49.2%,-4.2,-0.9,19-19-2,50.0%,-11.3,0.0,Oklahoma,391-398-14,49.6%,5.8,0.2,191-169-5,53.1%,12.8,1.2,Oklahoma,-27.5,−110,148-147-5,50.2%,-5.4,0.4,Tx A&M-Com,N/A,N/A,5-12-0,29.4%,1.5,-4.1
26,50.0,10:00 PM,Haas Pavilion,309,Air Force,123,California,Air Force,Air Force,California,California,+16.5,−110,True,-16.5,−110,False,Air Force,333-331-10,50.2%,-1.1,-0.2,150-143-8,51.2%,-8.4,-0.1,California,406-415-17,49.5%,0.9,-0.5,212-212-11,50.0%,6.3,-0.2,Air Force,+16.5,−110,219-215-7,50.5%,-9.4,-0.2,California,-16.5,−110,208-205-12,50.4%,8.0,-0.3
27,48.8,5:00 PM,William R. Johnson Coliseum,276,Monmouth,188,Youngs St,,Monmouth-NJ,Youngstown State,Youngstown St.,N/A,N/A,False,N/A,N/A,False,Monmouth,188-180-7,51.1%,-2.4,-0.3,90-87-4,50.9%,-5.7,-0.3,Youngs St,291-306-20,48.7%,-1.4,-0.3,122-129-13,48.6%,5.2,-0.3,Youngs St,N/A,N/A,201-205-13,49.5%,-9.2,-0.3,Monmouth,N/A,N/A,83-86-4,49.1%,5.7,-0.6
28,48.4,2:30 PM,HTC Center,145,S Florida,311,Portland,South Florida,South Florida,,Portland,-9,−112,False,N/A,N/A,False,S Florida,374-380-16,49.6%,-1.4,-0.3,164-142-7,53.6%,-6.4,0.6,Portland,348-380-16,47.8%,-3.3,-0.7,150-174-11,46.3%,2.3,-1.2,Portland,N/A,N/A,221-259-9,46.0%,-10.8,-0.9,S Florida,-9,−112,137-144-6,48.8%,5.5,-1.3
29,48.3,7:00 PM,Memorial Athletic and Convocation Center,321,Niagara,126,Kent St,Niagara,Niagara,Kent State,Kent St.,+15.5,−112,True,-15.5,−108,False,Niagara,350-341-11,50.7%,-0.7,0.0,179-156-3,53.4%,-4.6,0.4,Kent St,411-370-25,52.6%,5.1,0.6,166-165-14,50.2%,10.9,0.3,Niagara,+15.5,−112,204-180-4,53.1%,-6.3,0.8,Kent St,-15.5,−108,262-243-18,51.9%,7.4,0.1
30,48.2,6:00 PM,Newman Arena at Bartels Hall,291,Rob Morris,170,Cornell,Robert Morris,Robert Morris,Cornell,Cornell,+9,−110,True,-9,−110,False,Rob Morris,142-126-2,53.0%,0.1,-0.2,82-66-0,55.4%,-4.2,0.0,Cornell,289-259-12,52.7%,-0.8,0.5,107-111-3,49.1%,4.7,-0.5,Rob Morris,+9,−110,87-75-2,53.7%,-8.6,0.0,Cornell,-9,−110,95-101-1,48.5%,6.1,-0.9
31,45.3,8:00 PM,Dugan Wellness Center,293,Tn Martin,194,Tx A&M-Cc,,Tenn-Martin,A&M-Corpus Christi,Texas A&M CC,N/A,N/A,False,-9.5,−108,False,Tn Martin,286-324-12,46.9%,-3.2,-0.9,158-184-8,46.2%,-10.0,-0.6,Tx A&M-Cc,125-107-5,53.9%,1.4,0.6,42-38-2,52.5%,8.7,0.2,Tx A&M-Cc,-9.5,−108,72-59-2,55.0%,-7.6,1.6,Tn Martin,N/A,N/A,93-82-3,53.1%,4.6,-0.4
