,Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Home Team DraftKings,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Away Team is_fav_ATS Record,Away Team is_fav_Cover %,Away Team is_fav_MOV,Away Team is_fav_ATS +/-,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Home Team is_dog_ATS Record,Home Team is_dog_Cover %,Home Team is_dog_MOV,Home Team is_dog_ATS +/-
11,12,78.5,11:00 AM,Ocean Center,139,James Mad,122,Il-Chicago,James Madison,,1-2-0,33.3%,10.0,-4.5,0-2-0,0.0%,-9.0,-10.3,1-1-0,50.0%,-2.0,-5.8,2-0-0,100.0%,27.3,12.0,1-0-0,100.0%,39.3,+18.0,2-0-0,100.0%,1.5,12.0
12,13,78.4,5:30 PM,HTC Center,92,Bradley,162,Texas St,Bradley,Texas State,2-2-0,50.0%,10.0,-2.4,0-1-0,0.0%,-17.0,-15.5,2-1-0,66.7%,19.0,2.0,2-1-0,66.7%,10.8,3.8,1-0-0,100.0%,30.0,+11.5,1-1-0,50.0%,-8.5,0.0
13,14,75.6,7:00 PM,Colonial Life Arena,191,Mercer,69,S Carolina,,South Carolina,0-2-0,0.0%,22.3,-12.8,0-2-0,0.0%,-20.0,-12.8,,,,,2-2-0,50.0%,7.3,-2.1,2-1-0,66.7%,15.0,-0.2,0-1-0,0.0%,-16.0,-8.0
14,15,75.3,1:00 PM,Ocean Center,127,La Salle,157,Ucsd,La Salle,,3-1-0,75.0%,13.3,8.6,0-1-0,0.0%,3.0,-1.5,3-1-0,75.0%,13.3,8.6,2-2-0,50.0%,2.5,-1.9,1-2-0,33.3%,5.0,-4.3,1-0-0,100.0%,-5.0,5.5
15,16,72.3,9:00 PM,The Pit,225,Grambling St,58,New Mexico,Grambling,New Mexico,2-0-0,100.0%,8.0,11.8,2-0-0,100.0%,-13.0,11.8,,,,,2-2-0,50.0%,5.0,-0.5,0-1-0,0.0%,7.0,-10.5,1-1-0,50.0%,-3.0,2.8
16,17,71.8,7:00 PM,Littlejohn Coliseum,232,Radford,46,Clemson,,Clemson,3-1-0,75.0%,8.2,5.0,1-1-0,50.0%,-14.5,-2.3,1-0-0,100.0%,12.0,9.0,1-3-0,25.0%,13.3,-4.3,1-2-0,33.3%,22.0,-2.5,0-1-0,0.0%,-13.0,-9.5
17,18,71.0,8:00 PM,HTC Center,109,Princeton,205,Wright St,Princeton,Wright State,2-3-0,40.0%,3.4,-3.2,1-1-0,50.0%,7.0,0.5,2-3-0,40.0%,3.4,-3.2,1-2-0,33.3%,5.6,-1.5,0-0-0,0.0%,32.5,--,1-2-0,33.3%,-12.3,-1.5
18,19,69.8,3:30 PM,Ocean Center,164,Jksnville St,166,E Carolina,Jacksonville State,East Carolina,1-2-0,33.3%,20.3,3.7,1-1-0,50.0%,6.0,5.8,1-1-0,50.0%,11.5,7.8,1-1-0,50.0%,17.3,-2.0,1-1-0,50.0%,17.3,-2.0,1-0-0,100.0%,1.0,4.5
19,20,69.6,12:00 PM,HTC Center,171,Ohio,160,Middle Tenn,Ohio,Middle Tennessee,0-4-0,0.0%,-9.5,-8.6,0-3-0,0.0%,-14.7,-10.3,0-2-0,0.0%,-2.0,-8.0,2-1-0,66.7%,16.3,3.2,1-1-0,50.0%,14.0,-8.8,1-0-0,100.0%,23.0,27.0
20,21,68.1,8:00 PM,The Sandy and John Black Pavilion at Ole Miss,248,Oral Roberts,47,Mississippi,,Ole Miss,1-2-0,33.3%,9.8,-2.2,1-2-0,33.3%,-14.0,-2.2,,,,,1-2-1,33.3%,14.3,-5.0,0-2-1,0.0%,14.0,-9.8,,,,
21,22,66.3,9:30 PM,Spokane Arena,249,E Washingtn,78,Wash State,Eastern Washington,Washington State,2-2-0,50.0%,-6.0,3.6,1-1-0,50.0%,-13.5,4.3,0-1-0,0.0%,-4.0,-9.0,3-2-0,60.0%,10.4,2.9,3-1-0,75.0%,15.5,+4.8,0-1-0,0.0%,-10.0,-4.5
22,23,53.7,7:30 PM,William R. Johnson Coliseum,257,Presbyterian,179,Ste F Austin,Presbyterian,SFA,3-1-0,75.0%,8.4,2.6,2-1-0,66.7%,-12.0,0.8,,,,,0-2-0,0.0%,7.0,-5.8,0-0-0,0.0%,26.5,--,0-2-0,0.0%,-12.5,-5.8
23,24,53.5,8:30 PM,Crisler Center,338,Tarleton St,22,Michigan,Tarleton State,Michigan,1-4-0,20.0%,-23.0,-12.8,0-3-0,0.0%,-39.0,-17.7,1-0-0,100.0%,31.0,12.5,3-1-0,75.0%,21.3,7.9,3-0-0,100.0%,29.0,+11.8,,,,
24,25,51.0,8:00 PM,Lloyd Noble Center,342,Tx A&M-Com,49,Oklahoma,,Oklahoma,4-1-0,80.0%,-19.0,3.4,3-1-0,75.0%,-24.3,3.0,,,,,1-2-0,33.3%,23.3,-3.2,1-2-0,33.3%,23.3,-3.2,,,,
25,26,50.0,10:00 PM,Haas Pavilion,309,Air Force,123,California,Air Force,California,1-3-0,25.0%,-6.8,-10.5,,,,,1-2-0,33.3%,-6.3,-12.3,2-1-1,66.7%,5.0,1.6,1-0-1,100.0%,15.5,+1.8,1-1-0,50.0%,-5.5,1.5
26,27,48.8,5:00 PM,William R. Johnson Coliseum,276,Monmouth,188,Youngs St,,Youngstown State,2-3-0,40.0%,-17.4,-4.8,2-2-0,50.0%,-14.5,-0.4,0-1-0,0.0%,-13.0,-15.5,2-1-0,66.7%,-7.7,0.8,,,,,1-1-0,50.0%,-21.5,-6.0
27,28,48.4,2:30 PM,HTC Center,145,S Florida,311,Portland,South Florida,,1-3-0,25.0%,1.3,-5.5,0-1-0,0.0%,-15.0,-10.0,1-1-0,50.0%,17.5,-4.0,2-1-0,66.7%,-9.0,-3.5,0-1-0,0.0%,-14.0,-34.0,2-1-0,66.7%,-16.3,-3.5
28,29,48.3,7:00 PM,Memorial Athletic and Convocation Center,321,Niagara,126,Kent St,Niagara,Kent State,1-2-0,33.3%,-3.8,-3.3,1-2-0,33.3%,-16.7,-3.3,,,,,1-0-1,100.0%,8.7,1.0,0-0-0,0.0%,45.0,--,0-0-1,0.0%,-23.0,0.0
29,30,48.2,6:00 PM,Newman Arena at Bartels Hall,291,Rob Morris,170,Cornell,Robert Morris,Cornell,4-1-0,80.0%,5.5,1.1,1-1-0,50.0%,-16.0,-3.3,3-0-0,100.0%,12.3,4.0,1-2-0,33.3%,9.3,-3.3,1-1-0,50.0%,17.7,+2.0,1-1-0,50.0%,-7.0,-4.8
30,31,45.3,8:00 PM,Dugan Wellness Center,293,Tn Martin,194,Tx A&M-Cc,,,2-1-0,66.7%,8.8,5.5,2-1-0,66.7%,-6.0,5.5,,,,,2-1-0,66.7%,3.5,2.8,0-0-0,0.0%,51.0,--,2-1-0,66.7%,-12.3,2.8
31,32,44.2,5:30 PM,Ocean Center,333,Stetson,135,Toledo,Stetson,Toledo,1-2-0,33.3%,-6.8,-6.8,1-1-0,50.0%,-21.5,-6.5,0-1-0,0.0%,-3.0,-7.5,3-1-0,75.0%,6.0,2.8,1-0-0,100.0%,9.0,+2.0,0-1-0,0.0%,-10.0,-4.0
32,33,40.5,7:00 PM,Merkert Gymnasium,149,Bryant,348,Stonehill,Bryant,,1-2-0,33.3%,16.0,0.3,1-1-0,50.0%,12.0,7.0,1-2-0,33.3%,7.3,0.3,1-4-0,20.0%,-4.0,3.6,0-0-0,0.0%,19.0,--,1-3-0,25.0%,-10.5,5.4
33,34,33.8,7:00 PM,OU Credit Union O'rena,323,E Michigan,224,Oakland,Eastern Michigan,Oakland,1-2-0,33.3%,0.0,-2.0,1-2-0,33.3%,-8.3,-2.0,,,,,2-1-0,66.7%,-13.5,-2.8,0-0-0,0.0%,23.0,--,2-1-0,66.7%,-25.7,-2.8
34,35,30.6,8:00 PM,William H. Pitt Health and Recreation Center,243,Central Conn,326,Sacred Hrt,Central Connecticut State,Sacred Heart,2-1-0,66.7%,8.3,7.7,2-0-0,100.0%,1.0,19.0,,,,,2-4-0,33.3%,-10.2,-0.4,,,,,1-3-0,25.0%,-17.8,-2.5
35,36,25.7,7:00 PM,Sojka Pavilion,359,Njit,228,Bucknell,,Bucknell,2-3-0,40.0%,-17.6,-5.5,1-2-0,33.3%,-23.0,-6.3,,,,,4-1-0,80.0%,-2.0,3.1,1-1-0,50.0%,0.0,-1.5,3-0-0,100.0%,-4.0,7.8
36,36,25.7,8:00 PM,Athletics-Recreation Center,351,Lindenwood,246,Valparaiso,,Valparaiso,1-3-0,25.0%,2.8,-3.9,0-2-0,0.0%,-23.5,-6.5,,,,,0-2-0,0.0%,12.3,-10.5,0-1-0,0.0%,28.5,-11.5,0-1-0,0.0%,-20.0,-9.5
37,38,15.5,7:30 PM,Farris Center,315,Se Missouri,344,Central Ark,,,2-1-0,66.7%,3.3,4.3,1-1-0,50.0%,-18.5,4.8,,,,,1-2-0,33.3%,-4.0,-1.3,0-0-0,0.0%,59.0,--,1-2-0,33.3%,-25.0,-1.3
38,39,--,8:00 PM,Scheels Center,0,Minnesota-Crookston,230,N Dakota St,,North Dakota State,,,,,,,,,,,,,1-3-0,25.0%,1.2,-2.4,0-1-0,0.0%,14.0,-12.5,1-2-0,33.3%,-7.3,1.0
39,39,--,8:00 PM,LeRoy A. Ufkes Court at Western Hall,0,Monmouth (Il),330,W Illinois,,Western Illinois,,,,,,,,,,,,,1-4-0,20.0%,-9.4,-5.1,0-2-0,0.0%,-6.0,-10.8,1-2-0,33.3%,-11.7,-1.3
40,39,--,8:00 PM,UNT Coliseum,0,Texas Wesleyan,87,North Texas,,North Texas,,,,,,,,,,,,,2-1-0,66.7%,13.8,1.7,1-0-0,100.0%,29.5,+3.5,1-1-0,50.0%,-2.0,0.8
41,39,--,7:30 PM,Bernard G. Johnson Coliseum,0,Trinity (Tx),117,Sam Hous St,,Sam Houston,,,,,,,,,,,,,2-2-0,50.0%,-2.8,0.9,,,,,0-2-0,0.0%,-26.5,-13.3
42,39,--,7:00 PM,UNF Arena,0,Edward Waters,175,N Florida,,North Florida,,,,,,,,,,,,,4-1-0,80.0%,2.4,9.2,1-1-0,50.0%,5.0,-2.0,3-0-0,100.0%,0.7,16.7
43,39,--,7:00 PM,McKenzie Arena,0,Johnson University,184,Chattanooga,,Chattanooga,,,,,,,,,,,,,2-3-0,40.0%,-5.0,-3.2,1-0-0,100.0%,14.0,+2.5,1-1-0,50.0%,-19.0,-3.3
