Team,all_games_Over Record,all_games_Over %,all_games_Under %,all_games_Total +/-,equal_rest_Over Record,equal_rest_Over %,equal_rest_Under %,equal_rest_Total +/-,four_plus_days_off_Over Record,four_plus_days_off_Over %,four_plus_days_off_Under %,four_plus_days_off_Total +/-,is_after_loss_Over Record,is_after_loss_Over %,is_after_loss_Under %,is_after_loss_Total +/-,is_after_win_Over Record,is_after_win_Over %,is_after_win_Under %,is_after_win_Total +/-,is_away_Over Record,is_away_Over %,is_away_Under %,is_away_Total +/-,is_dog_Over Record,is_dog_Over %,is_dog_Under %,is_dog_Total +/-,is_fav_Over Record,is_fav_Over %,is_fav_Under %,is_fav_Total +/-,is_home_Over Record,is_home_Over %,is_home_Under %,is_home_Total +/-,no_rest_Over Record,no_rest_Over %,no_rest_Under %,no_rest_Total +/-,one_day_off_Over Record,one_day_off_Over %,one_day_off_Under %,one_day_off_Total +/-,rest_advantage_Over Record,rest_advantage_Over %,rest_advantage_Under %,rest_advantage_Total +/-,rest_disadvantage_Over Record,rest_disadvantage_Over %,rest_disadvantage_Under %,rest_disadvantage_Total +/-,two_three_days_off_Over Record,two_three_days_off_Over %,two_three_days_off_Under %,two_three_days_off_Total +/-
Michigan,1-1-0,50.0%,50.0%,-3.5,1-0-0,100.0%,0.0%,7.0,1-1-0,50.0%,50.0%,-3.5,,,,,0-1-0,0.0%,100.0%,-14.0,,,,,,,,,1-1-0,50.0%,50.0%,-3.5,1-0-0,100.0%,0.0%,+7.0,,,,,,,,,0-1-0,0.0%,100.0%,-14.0,,,,,,,,
GA Southern,1-1-0,50.0%,50.0%,+11.0,1-1-0,50.0%,50.0%,11.0,0-1-0,0.0%,100.0%,-1.5,,,,,1-0-0,100.0%,0.0%,+23.5,1-0-0,100.0%,0.0%,23.5,1-0-0,100.0%,0.0%,23.5,0-1-0,0.0%,100.0%,-1.5,0-1-0,0.0%,100.0%,-1.5,,,,,,,,,,,,,,,,,1-0-0,100.0%,0.0%,+23.5
W Kentucky,1-1-0,50.0%,50.0%,+4.0,1-1-0,50.0%,50.0%,4.0,1-1-0,50.0%,50.0%,+4.0,0-1-0,0.0%,100.0%,-14.5,,,,,0-1-0,0.0%,100.0%,-14.5,1-1-0,50.0%,50.0%,4.0,,,,,1-0-0,100.0%,0.0%,+22.5,,,,,,,,,,,,,,,,,,,,
Idaho St,1-1-0,50.0%,50.0%,-17.0,0-1-0,0.0%,100.0%,-41.5,0-1-0,0.0%,100.0%,-41.5,1-0-0,100.0%,0.0%,+7.5,,,,,1-1-0,50.0%,50.0%,-17.0,1-1-0,50.0%,50.0%,-17.0,,,,,,,,,,,,,1-0-0,100.0%,0.0%,+7.5,,,,,1-0-0,100.0%,0.0%,7.5,,,,
Navy,1-1-0,50.0%,50.0%,+10.3,1-1-0,50.0%,50.0%,10.3,0-1-0,0.0%,100.0%,-8.0,1-0-0,100.0%,0.0%,+28.5,,,,,0-1-0,0.0%,100.0%,-8.0,0-1-0,0.0%,100.0%,-8.0,1-0-0,100.0%,0.0%,28.5,1-0-0,100.0%,0.0%,+28.5,,,,,,,,,,,,,,,,,1-0-0,100.0%,0.0%,+28.5
Michigan St,1-1-0,50.0%,50.0%,+3.5,1-1-0,50.0%,50.0%,3.5,0-1-0,0.0%,100.0%,-5.0,,,,,1-0-0,100.0%,0.0%,+12.0,,,,,,,,,1-1-0,50.0%,50.0%,3.5,1-1-0,50.0%,50.0%,+3.5,,,,,,,,,,,,,,,,,1-0-0,100.0%,0.0%,+12.0
DePaul,1-1-0,50.0%,50.0%,+4.8,1-1-0,50.0%,50.0%,4.8,1-0-0,100.0%,0.0%,+11.0,,,,,0-1-0,0.0%,100.0%,-1.5,,,,,,,,,1-1-0,50.0%,50.0%,4.8,1-1-0,50.0%,50.0%,+4.8,,,,,,,,,,,,,,,,,0-1-0,0.0%,100.0%,-1.5
TX Christian,1-1-0,50.0%,50.0%,-6.8,1-1-0,50.0%,50.0%,-6.8,1-0-0,100.0%,0.0%,+17.5,,,,,0-1-0,0.0%,100.0%,-31.0,,,,,,,,,1-1-0,50.0%,50.0%,-6.8,1-1-0,50.0%,50.0%,-6.8,,,,,,,,,,,,,,,,,0-1-0,0.0%,100.0%,-31.0
Illinois St,1-1-0,50.0%,50.0%,-1.3,1-1-0,50.0%,50.0%,-1.3,0-1-0,0.0%,100.0%,-8.5,1-0-0,100.0%,0.0%,+6.0,,,,,1-0-0,100.0%,0.0%,6.0,1-0-0,100.0%,0.0%,6.0,0-1-0,0.0%,100.0%,-8.5,0-1-0,0.0%,100.0%,-8.5,,,,,,,,,,,,,,,,,1-0-0,100.0%,0.0%,+6.0
Alabama St,1-1-0,50.0%,50.0%,+9.0,1-0-0,100.0%,0.0%,34.5,1-1-0,50.0%,50.0%,+9.0,0-1-0,0.0%,100.0%,-16.5,,,,,1-1-0,50.0%,50.0%,9.0,1-1-0,50.0%,50.0%,9.0,,,,,,,,,,,,,,,,,0-1-0,0.0%,100.0%,-16.5,,,,,,,,
UNLV,1-1-0,50.0%,50.0%,+15.5,1-1-0,50.0%,50.0%,15.5,1-1-0,50.0%,50.0%,+15.5,,,,,0-1-0,0.0%,100.0%,-3.5,,,,,,,,,1-1-0,50.0%,50.0%,15.5,1-1-0,50.0%,50.0%,+15.5,,,,,,,,,,,,,,,,,,,,
Florida,1-1-0,50.0%,50.0%,+8.0,1-1-0,50.0%,50.0%,8.0,1-0-0,100.0%,0.0%,+28.5,,,,,0-1-0,0.0%,100.0%,-12.5,,,,,,,,,1-1-0,50.0%,50.0%,8.0,0-1-0,0.0%,100.0%,-12.5,,,,,,,,,,,,,,,,,0-1-0,0.0%,100.0%,-12.5
TX Southern,1-1-0,50.0%,50.0%,+1.8,0-1-0,0.0%,100.0%,-4.5,0-1-0,0.0%,100.0%,-4.5,0-0-0,0.0%,0.0%,--,1-0-0,100.0%,0.0%,+8.0,1-1-0,50.0%,50.0%,1.8,1-1-0,50.0%,50.0%,1.8,,,,,0-0-0,0.0%,0.0%,--,,,,,0-0-0,0.0%,0.0%,--,0-0-0,0.0%,0.0%,--,1-0-0,100.0%,0.0%,8.0,1-0-0,100.0%,0.0%,+8.0
Wofford,1-1-0,50.0%,50.0%,+10.0,,,,,1-1-0,50.0%,50.0%,+10.0,,,,,0-1-0,0.0%,100.0%,-7.5,0-1-0,0.0%,100.0%,-7.5,0-1-0,0.0%,100.0%,-7.5,,,,,1-0-0,100.0%,0.0%,+27.5,,,,,,,,,1-1-0,50.0%,50.0%,+10.0,,,,,,,,
W Illinois,1-1-0,50.0%,50.0%,-8.0,0-1-0,0.0%,100.0%,-21.0,0-1-0,0.0%,100.0%,-21.0,,,,,1-0-0,100.0%,0.0%,+5.0,1-1-0,50.0%,50.0%,-8.0,1-1-0,50.0%,50.0%,-8.0,,,,,,,,,,,,,1-0-0,100.0%,0.0%,+5.0,,,,,1-0-0,100.0%,0.0%,5.0,,,,
Fordham,1-1-0,50.0%,50.0%,-8.8,1-1-0,50.0%,50.0%,-8.8,1-1-0,50.0%,50.0%,-8.8,0-1-0,0.0%,100.0%,-22.5,,,,,1-1-0,50.0%,50.0%,-8.8,1-1-0,50.0%,50.0%,-8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago St,1-1-0,50.0%,50.0%,+1.3,1-1-0,50.0%,50.0%,1.3,1-1-0,50.0%,50.0%,+1.3,0-1-0,0.0%,100.0%,-11.0,,,,,1-0-0,100.0%,0.0%,13.5,1-1-0,50.0%,50.0%,1.3,,,,,0-1-0,0.0%,100.0%,-11.0,,,,,,,,,,,,,,,,,,,,
CS Fullerton,1-1-0,50.0%,50.0%,+8.8,1-1-0,50.0%,50.0%,8.8,1-0-0,100.0%,0.0%,+28.0,0-1-0,0.0%,100.0%,-10.5,,,,,1-1-0,50.0%,50.0%,8.8,1-1-0,50.0%,50.0%,8.8,,,,,,,,,,,,,,,,,,,,,,,,,0-1-0,0.0%,100.0%,-10.5
N Alabama,1-1-0,50.0%,50.0%,-2.0,0-1-0,0.0%,100.0%,-10.5,0-1-0,0.0%,100.0%,-10.5,,,,,1-0-0,100.0%,0.0%,+6.5,0-1-0,0.0%,100.0%,-10.5,0-1-0,0.0%,100.0%,-10.5,1-0-0,100.0%,0.0%,6.5,1-0-0,100.0%,0.0%,+6.5,,,,,,,,,1-0-0,100.0%,0.0%,+6.5,,,,,1-0-0,100.0%,0.0%,+6.5
