Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-
Rice,2-0-0,100.0%,-0.5,+1.3,1-0-0,100.0%,7.0,0.5,1-0-0,100.0%,7.0,+0.5,,,,,1-0-0,100.0%,-8.0,+2.0,,,,,1-0-0,100.0%,-8.0,2.0,1-0-0,100.0%,7.0,0.5,1-0-0,100.0%,7.0,+0.5,,,,,,,,,,,,,1-0-0,100.0%,-8.0,2.0,1-0-0,100.0%,-8.0,+2.0
Notre Dame,1-0-0,100.0%,29.0,+2.5,,,,,1-0-0,100.0%,29.0,+2.5,,,,,,,,,,,,,,,,,1-0-0,100.0%,29.0,2.5,1-0-0,100.0%,29.0,+2.5,,,,,,,,,1-0-0,100.0%,29.0,+2.5,,,,,,,,
Kent St,1-0-0,100.0%,24.5,+2.0,1-0-0,100.0%,4.0,2.0,1-0-0,100.0%,4.0,+2.0,,,,,0-0-0,0.0%,45.0,--,1-0-0,100.0%,4.0,2.0,,,,,1-0-0,100.0%,4.0,2.0,0-0-0,0.0%,45.0,--,,,,,,,,,0-0-0,0.0%,45.0,--,,,,,0-0-0,0.0%,45.0,--
N Alabama,2-0-0,100.0%,26.0,+17.3,1-0-0,100.0%,16.0,21.0,1-0-0,100.0%,16.0,+21.0,,,,,1-0-0,100.0%,36.0,+13.5,1-0-0,100.0%,16.0,21.0,1-0-0,100.0%,16.0,21.0,1-0-0,100.0%,36.0,13.5,1-0-0,100.0%,36.0,+13.5,,,,,,,,,1-0-0,100.0%,36.0,+13.5,,,,,1-0-0,100.0%,36.0,+13.5
Akron,1-0-0,100.0%,13.0,+0.5,1-0-0,100.0%,-5.0,0.5,1-0-0,100.0%,-5.0,+0.5,0-0-0,0.0%,31.0,--,,,,,1-0-0,100.0%,-5.0,0.5,1-0-0,100.0%,-5.0,0.5,,,,,0-0-0,0.0%,31.0,--,,,,,,,,,0-0-0,0.0%,31.0,--,,,,,0-0-0,0.0%,31.0,--
Winthrop,1-0-0,100.0%,37.5,+4.0,1-0-0,100.0%,15.0,4.0,1-0-0,100.0%,37.5,+4.0,,,,,1-0-0,100.0%,15.0,+4.0,,,,,,,,,1-0-0,100.0%,15.0,4.0,1-0-0,100.0%,37.5,+4.0,,,,,,,,,0-0-0,0.0%,60.0,--,,,,,,,,
Siena,2-0-0,100.0%,1.5,+8.3,2-0-0,100.0%,1.5,8.3,1-0-0,100.0%,1.0,+3.5,,,,,1-0-0,100.0%,2.0,+13.0,1-0-0,100.0%,2.0,13.0,2-0-0,100.0%,1.5,8.3,,,,,1-0-0,100.0%,1.0,+3.5,,,,,,,,,,,,,,,,,1-0-0,100.0%,2.0,+13.0
IU Indy,1-0-0,100.0%,21.0,+16.5,1-0-0,100.0%,-14.0,16.5,0-0-0,0.0%,56.0,--,,,,,1-0-0,100.0%,-14.0,+16.5,1-0-0,100.0%,-14.0,16.5,1-0-0,100.0%,-14.0,16.5,,,,,0-0-0,0.0%,56.0,--,,,,,,,,,0-0-0,0.0%,56.0,--,,,,,1-0-0,100.0%,-14.0,+16.5
Connecticut,2-0-0,100.0%,37.5,+1.5,1-0-0,100.0%,39.0,2.5,1-0-0,100.0%,36.0,+0.5,,,,,1-0-0,100.0%,39.0,+2.5,,,,,,,,,2-0-0,100.0%,37.5,1.5,2-0-0,100.0%,37.5,+1.5,,,,,,,,,1-0-0,100.0%,36.0,+0.5,,,,,1-0-0,100.0%,39.0,+2.5
E Kentucky,1-0-0,100.0%,16.5,+16.0,1-0-0,100.0%,4.0,16.0,0-0-0,0.0%,29.0,--,,,,,1-0-0,100.0%,4.0,+16.0,1-0-0,100.0%,4.0,16.0,1-0-0,100.0%,4.0,16.0,,,,,0-0-0,0.0%,29.0,--,,,,,,,,,0-0-0,0.0%,29.0,--,,,,,1-0-0,100.0%,4.0,+16.0
