Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-
New Orleans,418-419-11,49.9%,-0.5,0.3,213-214-5,49.9%,-0.3,0.5,10-15-1,40.0%,-1.9,-1.0,222-218-6,50.5%,-0.7,0.8,190-196-5,49.2%,-0.4,-0.3,207-205-7,50.2%,-2.3,0.8,236-227-7,51.0%,-4.4,1.2,179-186-4,49.0%,4.5,-0.7,209-207-4,50.2%,1.4,0.1,80-70-0,53.3%,-2.8,0.1,247-258-9,48.9%,-0.3,0.2,102-100-4,50.5%,1.2,0.8,103-105-2,49.5%,-2.6,-0.4,81-76-1,51.6%,1.2,1.4
Denver,437-441-20,49.8%,1.6,-0.1,234-227-7,50.8%,1.8,0.2,18-16-0,52.9%,2.1,0.1,197-177-8,52.7%,2.0,1.2,233-260-12,47.3%,1.2,-1.0,209-214-9,49.4%,-1.6,-0.5,181-165-8,52.3%,-4.3,1.2,252-273-12,48.0%,5.4,-0.9,211-217-10,49.3%,4.9,0.3,72-71-3,50.4%,-0.8,0.7,274-272-13,50.2%,2.0,-0.2,95-106-9,47.3%,2.6,-1.1,108-108-4,50.0%,0.1,0.4,73-82-4,47.1%,2.1,-0.5
Brooklyn,418-422-16,49.8%,-2.0,0.0,223-228-12,49.5%,-1.8,0.2,11-16-0,40.7%,-8.1,-5.6,228-233-11,49.5%,-2.8,0.3,185-183-5,50.3%,-0.8,-0.3,223-193-6,53.6%,-3.5,0.7,270-247-12,52.2%,-5.9,0.7,148-169-4,46.7%,4.5,-0.9,187-222-10,45.7%,-0.4,-0.7,64-82-2,43.8%,-7.1,-2.5,256-253-10,50.3%,-0.8,0.6,108-88-2,55.1%,0.9,1.2,87-106-2,45.1%,-5.5,-1.7,87-71-4,55.1%,-0.5,1.3
Milwaukee,441-449-20,49.6%,2.7,-0.5,244-250-10,49.4%,2.4,-0.5,16-16-0,50.0%,3.4,-0.3,188-170-5,52.5%,2.6,0.6,247-274-15,47.4%,2.9,-1.3,219-218-7,50.1%,0.1,-0.6,129-156-3,45.3%,-5.6,-0.7,306-290-17,51.3%,6.7,-0.4,213-219-13,49.3%,5.4,-0.1,81-73-3,52.6%,1.5,0.5,257-275-11,48.3%,2.9,-0.9,95-109-7,46.6%,3.9,-1.2,102-90-3,53.1%,2.4,0.2,87-85-6,50.6%,3.2,-0.2
Portland,422-434-18,49.3%,-1.4,-0.4,208-235-12,47.0%,-2.4,-1.0,15-15-0,50.0%,-0.7,0.7,209-229-4,47.7%,-2.8,-0.8,207-200-14,50.9%,0.0,0.0,208-218-6,48.8%,-4.3,-0.6,212-239-10,47.0%,-7.4,-0.8,209-190-8,52.4%,5.5,0.2,207-210-10,49.6%,1.6,-0.1,79-73-5,52.0%,-0.3,1.4,244-278-10,46.7%,-2.4,-1.4,102-95-3,51.8%,0.6,0.3,112-104-3,51.9%,-1.2,0.3,84-68-3,55.3%,0.9,1.3
Houston,433-446-14,49.3%,0.4,-0.2,247-250-9,49.7%,0.7,0.0,14-17-0,45.2%,-0.9,-1.5,194-217-8,47.2%,-2.0,-0.3,235-222-6,51.4%,2.9,0.1,212-215-5,49.7%,-2.1,-0.3,189-208-7,47.6%,-6.7,-0.1,240-237-7,50.3%,6.4,-0.3,212-219-9,49.2%,2.9,-0.1,70-78-3,47.3%,-1.2,0.0,268-280-10,48.9%,0.5,-0.3,93-99-1,48.4%,1.8,-0.4,93-97-4,49.0%,-1.7,-0.6,81-71-1,53.3%,1.9,0.3
Phoenix,422-438-10,49.1%,-1.3,-0.6,222-223-5,49.9%,-1.1,-0.6,13-17-1,43.3%,-0.8,-2.6,230-221-5,51.0%,-3.3,-0.3,187-211-5,47.0%,0.9,-0.9,208-211-7,49.6%,-3.7,-0.4,215-232-5,48.1%,-7.2,-0.4,204-206-5,49.8%,5.0,-1.0,205-226-2,47.6%,0.7,-1.1,76-70-0,52.1%,-3.6,-0.6,273-261-5,51.1%,-0.2,0.2,105-118-4,47.1%,0.8,-0.1,95-97-1,49.5%,-4.4,-1.3,60-90-4,40.0%,-3.3,-3.0
Chicago,405-423-13,48.9%,-1.9,-0.4,207-240-3,46.3%,-2.8,-1.3,13-16-0,44.8%,-1.2,-0.9,228-220-6,50.9%,-1.9,0.5,173-196-7,46.9%,-1.9,-1.4,206-206-8,50.0%,-3.2,0.6,244-261-9,48.3%,-5.9,-0.1,160-160-4,50.0%,4.3,-0.9,198-216-5,47.8%,-0.7,-1.4,73-83-3,46.8%,-3.7,-0.9,241-263-6,47.8%,-2.0,-0.9,107-91-4,54.0%,0.8,1.2,91-92-6,49.7%,-2.8,-0.1,78-61-4,56.1%,0.2,2.0
Detroit,392-410-22,48.9%,-3.6,-0.1,188-223-13,45.7%,-4.4,-0.8,13-14-0,48.2%,-2.2,0.6,260-247-12,51.3%,-3.6,0.6,127-157-10,44.7%,-3.5,-1.4,193-208-13,48.1%,-6.0,-0.3,274-286-19,48.9%,-6.7,0.3,115-122-3,48.5%,3.9,-1.0,199-200-9,49.9%,-1.0,0.1,80-77-3,51.0%,-4.9,0.4,227-247-16,47.9%,-3.6,-0.7,98-96-3,50.5%,-0.1,1.4,106-91-6,53.8%,-5.3,0.1,72-72-3,50.0%,-2.4,1.2
Charlotte,392-412-18,48.8%,-2.7,-0.3,231-227-8,50.4%,-1.7,0.4,16-12-0,57.1%,2.3,3.1,220-234-13,48.5%,-3.5,-0.5,165-174-5,48.7%,-1.7,-0.2,196-203-13,49.1%,-4.9,-0.3,242-265-16,47.7%,-6.9,-0.4,150-145-2,50.9%,4.9,-0.1,195-209-5,48.3%,-0.4,-0.4,75-78-3,49.0%,-3.8,0.2,241-249-12,49.2%,-2.3,-0.2,79-98-4,44.6%,-3.2,-2.4,82-87-6,48.5%,-4.8,-0.1,60-73-3,45.1%,-3.8,-2.1
Atlanta,422-451-8,48.3%,-1.0,-0.6,234-259-5,47.5%,-0.8,-0.6,12-16-0,42.9%,-0.9,-2.0,213-229-4,48.2%,-1.8,-0.6,204-216-4,48.6%,-0.2,-0.6,204-232-6,46.8%,-3.7,-0.8,221-233-3,48.7%,-5.5,0.3,201-216-5,48.2%,4.0,-1.5,218-218-2,50.0%,1.8,-0.4,72-85-4,45.9%,-2.7,-1.8,262-269-4,49.3%,-0.7,-0.2,96-85-1,53.0%,1.1,0.4,92-107-2,46.2%,-3.1,-1.4,76-81-0,48.4%,0.1,-0.2
Washington,397-439-18,47.5%,-2.3,-0.6,203-244-13,45.4%,-2.6,-0.6,9-18-1,33.3%,-7.2,-4.2,217-242-12,47.3%,-2.9,-0.3,176-190-6,48.1%,-1.3,-0.9,192-221-11,46.5%,-5.1,-1.2,239-253-11,48.6%,-6.3,0.1,154-184-7,45.6%,3.5,-1.6,203-211-7,49.0%,0.7,0.1,78-78-2,50.0%,-2.9,0.4,240-259-14,48.1%,-1.5,-0.2,95-105-3,47.5%,-1.1,-1.2,99-90-2,52.4%,-2.8,0.1,70-84-1,45.5%,-3.2,-2.2
Cleveland,423-469-21,47.4%,0.6,-0.5,227-252-12,47.4%,1.1,-0.2,18-18-0,50.0%,2.0,0.8,177-223-11,44.3%,-2.0,-1.4,240-241-10,49.9%,2.8,0.2,203-237-13,46.1%,-1.9,-0.6,178-201-6,47.0%,-6.9,-0.3,244-266-15,47.8%,6.2,-0.6,219-232-8,48.6%,3.0,-0.3,73-81-5,47.4%,-2.6,-1.6,244-279-14,46.7%,1.2,-0.2,98-113-4,46.5%,1.6,-0.7,98-104-5,48.5%,-1.5,-0.7,88-91-2,49.2%,1.3,-0.4
LA Lakers,405-453-12,47.2%,-1.8,-0.4,203-243-5,45.5%,-1.8,-0.8,13-19-0,40.6%,-1.5,-2.0,225-234-9,49.0%,-3.2,-0.2,178-210-3,45.9%,0.0,-0.6,194-220-5,46.9%,-4.8,-0.9,233-254-6,47.8%,-6.5,0.4,167-197-6,45.9%,4.3,-1.5,197-217-6,47.6%,0.7,0.1,70-70-0,50.0%,-4.2,-0.3,249-292-10,46.0%,-1.6,-0.5,98-101-3,49.3%,0.3,-0.1,104-109-4,48.8%,-3.8,0.1,73-72-2,50.3%,-0.4,0.1
Minnesota,390-442-14,46.9%,-1.2,-0.1,214-247-7,46.4%,-1.1,0.1,12-15-0,44.4%,0.6,1.4,222-244-3,47.6%,-1.9,0.3,163-192-11,45.9%,-0.3,-0.8,205-210-7,49.4%,-3.1,0.4,230-242-7,48.7%,-5.8,0.4,157-195-7,44.6%,4.9,-0.9,184-231-7,44.3%,0.7,-0.7,67-72-6,48.2%,-3.4,0.0,243-275-7,46.9%,-1.0,-0.3,94-103-3,47.7%,0.9,-0.2,82-92-4,47.1%,-3.7,-0.8,68-80-1,46.0%,0.0,-0.1
