Team,all_games_ATS Record,all_games_Cover %,all_games_MOV,all_games_ATS +/-,equal_rest_ATS Record,equal_rest_Cover %,equal_rest_MOV,equal_rest_ATS +/-,four_plus_days_off_ATS Record,four_plus_days_off_Cover %,four_plus_days_off_MOV,four_plus_days_off_ATS +/-,is_after_loss_ATS Record,is_after_loss_Cover %,is_after_loss_MOV,is_after_loss_ATS +/-,is_after_win_ATS Record,is_after_win_Cover %,is_after_win_MOV,is_after_win_ATS +/-,is_away_ATS Record,is_away_Cover %,is_away_MOV,is_away_ATS +/-,is_dog_ATS Record,is_dog_Cover %,is_dog_MOV,is_dog_ATS +/-,is_fav_ATS Record,is_fav_Cover %,is_fav_MOV,is_fav_ATS +/-,is_home_ATS Record,is_home_Cover %,is_home_MOV,is_home_ATS +/-,no_rest_ATS Record,no_rest_Cover %,no_rest_MOV,no_rest_ATS +/-,one_day_off_ATS Record,one_day_off_Cover %,one_day_off_MOV,one_day_off_ATS +/-,rest_advantage_ATS Record,rest_advantage_Cover %,rest_advantage_MOV,rest_advantage_ATS +/-,rest_disadvantage_ATS Record,rest_disadvantage_Cover %,rest_disadvantage_MOV,rest_disadvantage_ATS +/-,two_three_days_off_ATS Record,two_three_days_off_Cover %,two_three_days_off_MOV,two_three_days_off_ATS +/-
Sacramento,837-862-41,49.3%,-2.4,-0.4,408-441-14,48.1%,-2.9,-0.8,37-22-1,62.7%,0.6,1.3,501-466-24,51.8%,-2.4,0.4,325-386-16,45.7%,-2.4,-1.5,439-407-20,51.9%,-4.9,0.0,536-520-24,50.8%,-6.1,0.3,298-337-17,46.9%,3.8,-1.5,394-450-21,46.7%,0.1,-0.8,178-183-10,49.3%,-5.5,-0.9,476-490-21,49.3%,-1.5,-0.3,204-211-16,49.2%,-0.1,0.1,225-210-11,51.7%,-3.8,-0.1,146-167-9,46.7%,-2.2,-0.4
Cleveland,904-932-36,49.2%,0.3,-0.3,484-489-20,49.7%,0.6,-0.1,36-30-0,54.6%,2.4,0.8,407-452-15,47.4%,-2.1,-0.7,486-469-21,50.9%,2.4,0.1,443-465-24,48.8%,-2.8,-0.5,414-438-14,48.6%,-6.6,-0.2,484-491-22,49.6%,6.2,-0.4,460-467-12,49.6%,3.3,-0.1,175-201-10,46.5%,-2.9,-1.4,496-514-23,49.1%,0.6,-0.2,211-224-5,48.5%,2.1,-0.1,209-219-11,48.8%,-2.2,-1.0,197-187-3,51.3%,2.2,0.4
Detroit,872-902-41,49.2%,-1.1,-0.2,448-497-27,47.4%,-1.2,-0.5,27-38-0,41.5%,-0.5,-1.1,471-488-20,49.1%,-2.6,-0.1,390-403-21,49.2%,0.6,-0.3,436-446-25,49.4%,-3.7,0.0,476-500-25,48.8%,-6.2,0.3,389-397-16,49.5%,5.1,-0.7,436-454-16,49.0%,1.5,-0.3,186-197-7,48.6%,-3.1,-0.7,482-506-27,48.8%,-0.9,-0.3,209-193-6,52.0%,1.4,1.0,215-212-8,50.4%,-3.2,-0.6,177-161-7,52.4%,0.4,0.9
LA Clippers,889-921-20,49.1%,0.8,-0.1,425-446-11,48.8%,0.6,0.0,33-31-0,51.6%,-2.6,-2.4,409-438-6,48.3%,-0.6,-0.1,465-476-14,49.4%,2.0,-0.1,441-448-12,49.6%,-1.9,0.2,376-429-7,46.7%,-6.0,-0.1,508-484-13,51.2%,6.3,0.0,436-462-8,48.6%,3.3,-0.3,188-196-4,49.0%,-0.8,0.3,501-515-13,49.3%,1.4,0.2,220-240-4,47.8%,2.3,-0.7,244-235-5,50.9%,-0.3,0.4,167-179-3,48.3%,1.2,-0.8
Brooklyn,868-899-35,49.1%,-2.1,-0.4,463-470-26,49.6%,-1.9,-0.2,27-32-0,45.8%,-4.1,-3.1,461-501-21,47.9%,-3.0,-0.1,397-386-14,50.7%,-1.0,-0.5,449-430-16,51.1%,-4.2,0.3,526-537-21,49.5%,-6.2,0.2,338-354-14,48.8%,4.1,-1.1,410-462-19,47.0%,0.0,-1.0,168-207-5,44.8%,-5.3,-1.6,499-488-23,50.6%,-1.2,0.0,217-192-6,53.1%,0.1,0.5,188-237-3,44.2%,-4.8,-1.5,174-172-7,50.3%,-1.1,0.4
Milwaukee,875-909-35,49.1%,0.2,-0.5,459-467-19,49.6%,0.4,-0.3,29-26-0,52.7%,1.4,0.4,445-431-15,50.8%,-0.4,0.2,418-468-20,47.2%,0.8,-1.1,446-438-16,50.5%,-2.6,-0.2,397-431-10,48.0%,-5.9,-0.1,470-470-25,50.0%,5.5,-0.7,420-459-19,47.8%,3.0,-0.5,191-197-7,49.2%,-1.3,-0.2,466-491-18,48.7%,0.4,-0.8,214-243-10,46.8%,1.6,-0.8,202-199-6,50.4%,-1.9,-0.4,189-195-10,49.2%,1.1,0.0
Atlanta,874-936-19,48.3%,-1.4,-0.4,471-521-11,47.5%,-1.5,-0.6,25-30-1,45.5%,-3.2,-1.3,460-487-11,48.6%,-2.2,-0.3,403-438-8,47.9%,-0.6,-0.6,426-479-11,47.1%,-4.4,-0.4,484-524-9,48.0%,-5.9,0.2,389-404-10,49.1%,4.3,-1.1,448-455-8,49.6%,1.5,-0.4,189-203-6,48.2%,-2.5,-0.7,497-511-12,49.3%,-1.0,-0.2,211-201-2,51.2%,0.5,0.3,192-214-6,47.3%,-3.2,-0.6,163-192-0,45.9%,-1.3,-0.4
Washington,824-916-38,47.4%,-2.5,-0.3,428-504-21,45.9%,-2.6,-0.5,24-31-1,43.6%,-5.4,-2.7,476-513-26,48.1%,-2.9,0.0,339-390-12,46.5%,-1.9,-0.8,419-449-19,48.3%,-5.6,-0.6,525-562-25,48.3%,-6.3,0.1,295-352-13,45.6%,3.9,-1.1,403-460-19,46.7%,0.6,0.0,183-197-4,48.2%,-3.8,-0.1,462-507-24,47.7%,-2.0,-0.1,198-223-13,47.0%,-1.3,-0.6,198-189-4,51.2%,-3.7,0.3,155-181-9,46.1%,-2.3,-0.8
LA Lakers,872-982-32,47.0%,0.3,-0.5,433-491-22,46.9%,0.5,-0.6,40-37-0,52.0%,3.4,0.8,415-445-17,48.3%,-1.4,-0.3,447-525-15,46.0%,1.7,-0.7,432-483-13,47.2%,-3.1,-1.0,401-431-13,48.2%,-6.0,0.3,464-546-19,45.9%,5.4,-1.2,426-483-18,46.9%,3.5,0.0,165-173-3,48.8%,-2.2,-0.7,515-605-25,46.0%,0.5,-0.7,201-226-4,47.1%,2.1,-0.3,238-265-6,47.3%,-1.7,-0.5,152-167-4,47.7%,1.4,0.0
Minnesota,807-918-27,46.8%,-1.8,-0.4,426-489-12,46.6%,-1.7,-0.4,26-30-0,46.4%,1.0,1.1,483-520-10,48.2%,-2.5,0.1,314-386-17,44.9%,-1.0,-1.0,425-432-17,49.6%,-4.1,0.3,485-522-16,48.2%,-6.4,0.1,319-390-11,45.0%,4.7,-0.9,381-485-10,44.0%,0.4,-1.0,174-184-9,48.6%,-3.7,-0.1,462-526-15,46.8%,-1.6,-0.4,196-223-6,46.8%,-0.3,-0.3,185-206-9,47.3%,-3.9,-0.4,145-178-3,44.9%,-1.1,-0.7
