Team,ATS Record,Cover %,MOV,ATS +/-
Ark Pine Bl,5-6-0,45.5%,-8.1,-1.3
GA Southern,20-24-0,45.5%,-3.6,-1.9
Tarleton St,5-6-0,45.5%,-0.7,+4.5
GA Tech,14-17-0,45.2%,-4.9,-1.2
Tennessee,23-28-1,45.1%,-1.2,-1.6
S Carolina,18-22-1,45.0%,-1.1,+0.5
Delaware St,9-11-0,45.0%,-7.0,-1.4
Missouri St,31-38-1,44.9%,-1.1,-1.6
BYU,22-27-1,44.9%,2.5,-0.6
Florida,22-27-0,44.9%,4.4,+0.3
Indiana St,25-31-1,44.6%,-2.9,-0.4
Abl Christian,8-10-0,44.4%,-0.5,-2.9
Miami,20-25-0,44.4%,-1.2,-1.0
Fla Gulf Cst,12-15-0,44.4%,1.0,-1.4
N Arizona,16-20-1,44.4%,-3.2,-0.7
S Methodist,16-20-1,44.4%,3.6,+1.0
Geo Mason,20-25-3,44.4%,-2.4,-1.0
UC Irvine,28-35-1,44.4%,2.6,-1.3
Miss State,20-25-2,44.4%,-1.9,-1.3
Northwestern,16-20-1,44.4%,-4.3,-1.8
N Kentucky,12-15-0,44.4%,1.3,+0.3
Rider,15-19-0,44.1%,-4.0,-3.0
Fla Atlantic,15-19-0,44.1%,-4.4,-1.1
IPFW,11-14-2,44.0%,-5.3,-1.3
Nicholls,11-14-0,44.0%,-3.9,-2.0
Santa Clara,29-37-5,43.9%,-4.0,-2.9
Florida St,18-23-0,43.9%,-2.5,-0.7
Seton Hall,18-23-0,43.9%,-2.1,-0.7
Colorado,21-27-1,43.8%,-1.7,-0.3
Chattanooga,21-27-1,43.8%,-0.2,-1.0
McNeese St,7-9-1,43.8%,0.2,-0.6
Army,7-9-0,43.8%,-3.5,-2.8
Rob Morris,7-9-1,43.8%,-4.5,+0.5
Texas Tech,17-22-0,43.6%,0.2,+1.6
Mississippi,17-22-3,43.6%,-1.5,-2.2
Xavier,23-30-0,43.4%,0.1,-1.3
Marshall,13-17-1,43.3%,-0.5,-0.2
Loyola Mymt,26-34-0,43.3%,-6.5,-2.4
AR Lit Rock,16-21-1,43.2%,0.9,-1.7
North Dakota,16-21-1,43.2%,-5.6,-2.9
TX-Arlington,12-16-1,42.9%,-0.1,-3.3
Chicago St,6-8-4,42.9%,-8.7,-3.5
Dayton,21-28-1,42.9%,-1.4,+0.8
U Mass,15-20-2,42.9%,-3.4,-1.6
Merrimack,6-8-0,42.9%,-1.9,-1.1
S Florida,17-23-1,42.5%,-3.0,-1.6
N Carolina,31-42-2,42.5%,3.8,-1.0
Arizona,22-30-1,42.3%,2.5,-0.9
Ball St,8-11-1,42.1%,-0.6,-1.1
Alcorn St,8-11-0,42.1%,-10.6,-2.6
San Diego,24-33-0,42.1%,-4.0,-0.9
TX Southern,8-11-0,42.1%,-2.6,-1.4
Morgan St,13-18-1,41.9%,-3.3,-2.0
Central Mich,10-14-1,41.7%,-4.2,-2.6
S Mississippi,25-35-2,41.7%,-0.8,-2.0
Evansville,15-21-2,41.7%,1.0,-0.6
LIU,5-7-0,41.7%,-4.7,-3.8
Rice,17-24-3,41.5%,-2.9,-1.6
Siena,17-24-4,41.5%,0.7,+0.1
Sam Hous St,12-17-0,41.4%,-1.8,-0.3
Akron,21-30-2,41.2%,2.1,-0.9
UC Davis,14-20-3,41.2%,-2.0,-0.9
Georgia,14-20-2,41.2%,-4.4,-1.6
Idaho,7-10-0,41.2%,-3.5,-0.9
Monmouth,16-23-2,41.0%,-2.1,-2.2
Citadel,9-13-2,40.9%,-5.1,+0.3
Coastal Car,11-16-0,40.7%,6.6,-0.2
New Orleans,13-19-2,40.6%,-2.6,-3.0
Wake Forest,13-19-0,40.6%,-3.8,-3.3
Canisius,13-19-0,40.6%,-5.1,-2.9
Fresno St,15-22-1,40.5%,-0.6,-2.0
La Salle,15-22-2,40.5%,-5.8,-1.6
Bradley,21-31-2,40.4%,-2.7,-0.9
UCF,12-18-0,40.0%,-2.0,-2.2
California,18-27-2,40.0%,-2.1,-4.7
TN Martin,6-9-0,40.0%,-3.4,-3.6
Stetson,10-15-0,40.0%,-5.3,-1.3
Alab A&M,4-6-1,40.0%,-5.1,-0.3
Charl South,6-9-0,40.0%,-7.8,-2.5
Tulsa,17-26-0,39.5%,-1.3,-1.9
Rhode Island,17-26-0,39.5%,-0.4,-2.4
Miami (OH),13-20-1,39.4%,-4.1,-3.1
Nebraska,13-20-0,39.4%,-4.2,-1.7
Illinois St,24-37-1,39.3%,-1.8,-1.8
N Illinois,9-14-0,39.1%,-0.1,-2.4
VMI,9-14-1,39.1%,-4.6,-0.6
Tulane,15-24-0,38.5%,-5.7,-3.1
UC Riverside,10-16-0,38.5%,-2.7,-0.8
Holy Cross,8-13-1,38.1%,-2.1,+1.1
SC Upstate,8-13-0,38.1%,-7.6,-4.5
Lamar,11-18-0,37.9%,-9.1,-2.1
South Dakota,11-18-0,37.9%,1.7,-2.0
Northeastrn,17-28-2,37.8%,-3.4,-2.7
St Fran (PA),3-5-0,37.5%,-4.7,-2.7
Miss Val St,6-10-0,37.5%,-14.8,-3.5
IU Indy,13-22-3,37.1%,-2.4,+0.3
Vermont,10-17-2,37.0%,4.3,-0.8
Minnesota,14-24-0,36.8%,-3.9,-2.6
Marist,14-24-0,36.8%,-4.4,-1.2
Wichita St,18-31-0,36.7%,-0.1,-2.8
Fordham,11-19-0,36.7%,-3.8,-0.6
Denver,15-26-3,36.6%,-4.3,-1.9
Arkansas,15-26-1,36.6%,-3.3,-2.9
Indiana,16-28-0,36.4%,0.1,-3.5
Drexel,12-21-2,36.4%,-0.5,-0.8
N Florida,8-14-0,36.4%,-6.4,-0.4
TX Christian,14-25-0,35.9%,-3.3,-1.1
S Utah,6-11-1,35.3%,-2.1,-1.6
TN Tech,7-13-2,35.0%,-2.6,-3.3
DePaul,10-19-0,34.5%,-5.5,-4.8
Youngs St,11-21-1,34.4%,-3.9,-3.1
F Dickinson,6-12-0,33.3%,-2.6,-0.5
Loyola-MD,7-14-0,33.3%,-4.2,-2.2
Bucknell,5-10-1,33.3%,-0.8,-0.1
Lehigh,5-10-0,33.3%,-3.2,-3.5
Maryland ES,5-10-0,33.3%,-17.3,-6.2
Norfolk St,12-24-1,33.3%,-6.6,-3.3
High Point,7-15-0,31.8%,-1.3,-6.0
Hsn Christian,5-11-0,31.3%,-10.4,-2.2
Mercer,10-22-0,31.3%,-5.1,-6.2
Pacific,10-22-2,31.3%,-1.0,-1.4
N Alabama,3-7-1,30.0%,-2.2,-1.6
NJIT,3-7-0,30.0%,-8.0,-6.2
Grambling St,3-7-0,30.0%,-8.3,-0.5
E Illinois,5-13-0,27.8%,-6.1,-3.9
Utah Valley,6-16-0,27.3%,-5.3,-3.8
Rutgers,6-17-0,26.1%,-8.7,-7.7
Cal Baptist,3-11-0,21.4%,-5.1,-6.5
Queens,1-4-0,20.0%,-16.4,-4.4
Le Moyne,0-1-0,0.0%,-21.0,-9.5
W Georgia,0-1-0,0.0%,-12.0,-3.5
S Indiana,0-1-0,0.0%,-24.0,-18.5
